Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E10-03F,C,F,PRE,NA, Colin,189029,137499,0,87526,0,51024,0,118318,0,0,0,120004,0,7205,26770,157851,0,4774,0,64,44,0,74,0,11,0,0,28,0,0,0,0,51,0,2,8,80,0,4
 E10-10F,C,F,PRE,NA, Colin,287354,167169,0,39501,0,62021,0,17835,0,0,2570,4539,0,0,0,291698,0,27313,0,96,61,0,25,0,5,0,0,3,0,0,0,2,3,0,0,0,124,0,22
 E11-01F,C,F,PRE,NA, Colin,316865,19577,431,108844,0,16845,519,31081,0,0,0,101683,896,0,0,298149,0,5110,2,109,18,1,92,0,7,1,0,16,2,0,0,0,48,1,0,0,118,0,8
 E11-03F,C,F,PRE,NA, Colin,236537,106028,0,54252,0,45854,1007,66453,0,0,0,37634,0,0,3131,333336,0,15768,1,100,55,0,49,0,9,1,0,17,6,0,0,0,25,0,0,1,147,0,18
 E11-03M,C,M,PRE,NA, Colin,102490,55871,3028,228250,609,18202,3209,46168,0,1231,64883,205645,0,0,8413,145116,6740,10145,1,54,30,3,173,1,9,3,19,7,11,0,1,14,107,0,0,2,75,2,12
 E11-11F,C,F,PRE,NA, Colin,155269,34029,45184,156655,0,20829,23013,15116,0,0,2575,123435,0,4379,15282,299274,0,4960,0,85,26,11,116,0,8,6,0,10,2,0,0,2,57,0,1,5,129,0,8
 E12-03F,T,F,PRE,NA, Colin,284260,87046,0,64047,612,11766,0,17756,0,0,0,30025,0,0,45450,340428,0,18610,1,130,52,0,51,1,5,0,0,9,0,0,0,0,25,0,0,6,165,0,25
 E12-07Fb,T,F,PRE,NA, Colin,156368,100492,0,128991,1200,10329,0,70428,0,0,0,85796,0,0,37855,240948,44166,23427,0,65,35,0,71,1,3,0,0,11,0,0,0,0,47,0,0,7,90,7,13
 E12-10Fb,T,F,PRE,NA, Colin,238704,49531,11623,131043,0,37504,0,8808,0,0,0,124994,0,0,564,285706,2168,9355,0,77,29,3,89,0,13,0,0,3,0,0,0,0,58,0,0,1,89,1,13
 E12-15F,T,F,PRE,NA, Colin,312574,50923,0,76786,885,74457,0,76861,650,0,0,30503,2114,0,0,255161,0,19086,2,107,28,0,65,1,10,0,0,10,0,1,0,0,19,1,0,0,129,0,25
