Subject,Treatment,Sex,GonadState,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E47-01F,C,F,GDX, Colin,383143,19801,0,68328,0,17565,381,114476,0,0,0,56051,0,0,0,228306,0,11949,0,149,18,0,76,0,9,1,0,45,0,0,0,0,23,0,0,0,139,0,23
 E51-08M,D,M,REP, Colin,79048,137793,34114,98724,0,68085,888,18111,0,0,0,221715,0,0,32650,207017,0,1855,0,45,65,15,104,0,33,1,0,11,0,0,0,0,77,0,0,9,106,0,3
 E10-02F,C,F,REP, Colin,130836,103954,0,17061,0,3420,0,96251,0,0,708,18892,0,0,0,528582,0,296,0,91,66,0,13,0,2,0,0,32,7,0,0,1,9,0,0,0,171,0,1
 E10-10F,C,F,REP, Colin,179345,185949,0,10804,3120,1319,0,52874,0,0,0,0,0,0,0,464565,0,2024,0,90,62,0,9,1,1,0,0,19,4,0,0,0,0,0,0,0,134,0,3
 E11-01F,C,F,SHAM,Colin,271314,61174,0,16757,0,14564,0,171022,0,0,0,16237,0,0,3146,337128,8210,463,1,89,22,0,17,0,1,0,0,38,2,0,0,0,8,0,0,3,118,2,1
 E11-03F,C,F,SHAM, Colin,292702,67662,0,46951,0,11520,405,58842,0,0,0,76860,0,0,0,338972,0,6086,0,97,32,0,55,0,3,1,0,21,7,0,0,0,45,0,0,0,130,0,10
 E11-03M,C,M,GDX, Colin,142900,111097,0,108499,3595,50342,0,178279,0,0,0,40465,0,0,0,183048,78774,3001,0,55,26,0,74,3,9,0,0,15,2,0,0,0,23,0,0,0,66,9,4
 E11-11F,C,F,REP, Colin,168241,131771,0,31262,936,8322,0,71699,0,0,0,95167,0,0,0,391596,0,1006,0,100,73,0,48,1,3,0,0,31,2,0,0,0,46,0,0,0,178,0,2
 E12-03F,D,F,REP, Colin,306681,138579,0,30225,5791,0,0,99836,0,0,0,15755,0,0,0,299401,0,3732,0,87,36,0,21,2,0,0,0,14,6,0,0,0,15,0,0,0,121,0,5
 E12-07F,D,F,GDX, Colin,336026,108506,0,57846,10550,14965,0,37204,0,0,0,65048,0,0,0,263423,0,6432,0,84,26,0,60,8,4,0,0,9,0,0,0,0,40,0,0,0,100,0,8
 E12-03F,D,F,REP, Colin,167979,81366,5730,108510,29478,27012,0,21252,0,0,0,104900,0,0,99643,249330,0,4800,0,64,28,1,73,15,5,0,0,4,1,0,0,0,54,0,0,4,82,0,7
 E16-02aF,D,F,SHAM, Colin,253034,121520,0,57739,3422,51761,0,57815,0,0,0,43218,0,0,19877,269821,20670,1123,0,93,44,0,49,5,11,0,0,12,5,0,0,0,28,0,0,4,126,1,2
 E13-02F,D,F,REP, Colin,325295,57714,0,39217,899,1282,0,76287,0,0,0,6176,0,0,0,324748,50188,18194,0,83,22,0,30,1,1,0,0,10,0,0,0,0,8,0,0,0,97,3,20
 E13-02M,D,M,REP, Colin,94330,207429,0,140886,12136,20326,0,9849,0,3999,31583,46224,0,0,78311,229178,0,25749,0,58,52,0,90,4,10,0,22,3,1,0,3,4,23,0,0,17,92,0,23
 E13-03F,D,F,SHAM, Colin,236167,97391,0,45773,0,10308,0,56485,0,0,0,56455,0,0,0,388934,2548,5939,0,82,31,0,47,0,3,0,0,12,1,0,0,0,27,0,0,0,108,1,9
 E13-05F,D,F,REP, Colin,240000,145798,0,36922,2584,6817,568,45492,0,0,0,41531,0,0,3343,370214,0,6731,0,97,61,0,48,1,4,1,0,17,5,0,0,0,20,0,0,2,145,0,12
 E14-11M,D,M,REP, Colin,206730,145784,0,85415,48452,48782,0,31562,0,0,0,70320,0,0,0,229925,3472,29558,4,57,27,0,53,22,9,0,0,6,0,0,0,0,19,0,0,0,53,1,24
 E14-12F,D,F,SHAM, Colin,127758,164864,0,18532,0,23420,0,154414,0,0,0,26860,0,0,568,379740,3488,356,0,75,69,0,17,0,6,0,0,40,1,0,0,0,13,0,0,1,147,1,1
 E14-14F,D,F,REP, Colin,338249,53017,0,21150,0,0,0,204212,0,0,0,7308,0,0,0,263345,0,12719,0,80,14,0,20,0,0,0,0,29,0,0,0,0,4,0,0,0,91,0,14
 E15-03F,C,F,REP, Colin,286469,17621,0,61893,113664,87794,33876,20456,81490,0,15744,14138,0,0,0,158598,0,8257,0,44,10,0,25,22,8,4,1,6,33,7,0,4,7,0,0,0,42,0,7
 E15-08F,C,F,GDX, Colin,253123,107649,0,52571,2619,129318,0,49662,0,0,0,35750,0,0,30632,223378,0,15298,0,81,31,0,43,2,13,0,0,10,0,0,0,0,16,0,0,5,103,0,16
 E16-02aF,D,F,SHAM, Colin,246461,169628,0,60391,0,10135,760,25634,0,0,0,43548,0,0,5059,325631,9418,3335,0,132,75,0,80,0,2,1,0,12,1,0,0,0,39,0,0,3,191,1,6
 E16-12F,D,F,GDX, Colin,153534,114197,0,92667,0,16897,0,43651,0,0,0,136551,0,0,5169,337334,0,0,0,81,54,0,100,0,3,0,0,18,2,0,0,0,73,0,0,1,155,0,0
 E16-16M,D,M,SHAM, Colin,202550,86597,0,104465,0,22983,0,92766,0,0,0,77827,0,0,38134,240705,0,33973,1,82,50,0,82,0,7,0,0,8,0,0,0,0,45,0,0,7,116,0,33
 E17-01F,D,F,REP, Colin,221571,109035,0,86279,0,41026,0,96794,0,0,154,85076,0,0,5239,254109,0,717,0,80,55,0,80,0,11,0,0,26,2,0,0,1,50,0,0,4,145,0,2
 E17-03F,D,F,GDX, Colin,237594,115557,0,35934,456,30493,0,13005,0,0,0,44528,0,0,14631,372650,32917,2235,0,69,38,0,40,1,4,0,0,10,2,0,0,0,27,0,0,5,110,2,5
 E17-04M,D,M,SHAM, Colin,167234,104444,0,93178,0,16971,25,4690,0,1233,2990,54437,0,0,175134,271991,0,6680,1,76,75,0,81,0,4,1,16,5,3,0,1,2,30,0,0,70,148,0,6
 E17-07F,D,F,SHAM, Colin,257290,47198,0,91657,0,10593,0,41920,0,0,0,160791,0,0,18008,271910,0,633,0,88,28,0,86,0,4,0,0,17,4,0,0,0,64,0,0,3,113,0,1
 E17-09M,D,M,REP, Colin,104299,173690,0,69396,1791,24458,0,0,0,0,8996,145961,0,952,34678,327514,0,8265,1,43,64,0,62,1,7,0,27,0,1,0,0,2,43,0,1,8,118,0,6
 E18-01F,D,F,GDX, Colin,245187,98469,0,39355,0,32105,0,74441,0,0,0,72008,0,0,1474,333098,0,3863,0,99,36,0,45,0,7,0,0,15,0,0,0,0,28,0,0,1,133,0,5
 E16-02aF,D,F,GDX, Colin,233584,58088,0,63582,0,13174,0,144982,0,0,0,114305,0,0,605,237510,27556,6614,0,83,19,0,61,0,4,0,0,9,4,0,0,0,43,0,0,1,92,1,12
 E18-10F,D,F,SHAM, Colin,232432,103093,7144,85860,3382,14707,0,21220,0,0,0,99564,0,0,0,306570,0,26028,0,77,31,1,76,2,2,0,0,6,0,0,0,0,33,0,0,0,98,0,31
 E20-02F,D,F,REP, Colin,310656,144796,0,38751,3992,14690,0,4416,0,0,0,13610,0,0,0,340672,13800,14617,0,107,33,0,40,2,3,0,1,2,3,0,0,0,9,0,0,0,125,3,21
