Subject,Treatment,Sex,Gonad,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E28-02F,C,F,PRE,Anthony,23508,64322,0,316473,426824,529052,0,12311,0,0,0,128590,0,0,206107,28297,63721,0,0,6,10,0,73,15,29,0,0,1,0,0,0,0,41,0,0,13,8,1,0
 E28-03F,C,F,PRE,Anthony,85577,32878,0,333795,409229,480753,0,23132,0,0,0,134061,0,0,34856,265087,0,0,0,19,8,0,90,27,31,0,0,7,0,0,0,0,41,0,0,10,56,0,0
 E28-04F,C,F,PRE,Anthony,1864,13933,0,140007,1072937,381568,0,0,0,0,0,113260,0,0,36304,38714,0,0,0,2,3,0,58,5,17,0,0,0,0,0,0,0,40,0,0,4,10,0,0
 E31-03F,C,F,PRE,Anthony,50058,35973,0,191424,628932,292495,0,22854,0,0,0,21585,0,0,198569,237461,119845,0,0,28,8,0,81,5,22,0,0,4,0,0,0,0,12,0,0,17,75,3,0
 E31-04M,C,M,PRE,Anthony,0,8098,57288,492872,235362,306119,0,19369,0,499527,116884,55017,0,745,1346,3751,0,2112,0,0,3,4,94,26,27,0,18,2,0,0,85,56,19,0,1,1,5,0,2
 E31-06M,C,M,PRE,Anthony,14193,26107,0,205645,771018,689333,0,0,0,0,0,17213,0,0,24346,51409,0,0,0,7,6,0,42,11,30,0,0,0,0,0,0,0,11,0,0,3,22,0,0
 E32-01M,C,M,PRE,Anthony,13080,35501,0,184250,698602,267369,0,81071,0,0,0,39558,0,0,97377,88645,293883,0,0,7,7,0,52,15,24,0,0,4,0,0,0,0,17,0,0,12,23,1,0
 E32-02M,C,M,PRE,Anthony,77898,130282,0,673946,61397,343708,127519,15138,72321,8697,11034,139050,0,0,48812,86942,0,2584,0,11,24,0,128,9,21,38,0,8,51,20,6,7,41,0,0,11,16,0,1
 E33-01F,C,F,PRE,Anthony,76765,20713,41386,275947,418601,325937,15,1633,0,0,0,123187,325,0,144202,134431,236300,0,8,31,4,9,92,22,22,2,6,1,0,0,0,0,32,6,0,6,45,1,0
 E33-02F,C,F,PRE,Anthony,26919,34953,13959,479161,353699,515996,0,7928,0,0,0,160620,0,0,162231,44133,0,0,0,10,7,3,160,12,26,0,0,2,0,0,0,0,104,0,0,25,25,0,0
