Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv,TotalActivityOccur,TotalActivityDuration,TotalSocialOccur,TotalSocialDuration,AgonisticDeliveredOccur,AgonisticDeliveredDuration,AgonisticReceivedOccur,AgonisticReceivedDuration,AgonisticTotalOccur,AgonisticTotalDuration,DominanceScoreOccur,DominanceScoreDuration,SocialInvestigationOccur,SocialInvestigationDuration,NonSocialOccur,NonSocialDuration,NonSocialLocomotorOccur,NonSocialLocomotorDuration,InactiveNonSocialOccur,InactiveNonSocialDuration,TransTotalActivityDur,TransTotalAgonisticDur,TransAgonisticDeliveredDur,TransAgonisticDeliveredFreq,TransAgonisticReceivedDur,TransAgonisticReceivedFreq,TransNonSocialDur,TransNonSocialFreq,TransActiveNonSocialDur,TransActiveNonSocialFreq,TransInactiveNonSocialDur,TransInactiveNonSocialFreq,TransRitualizedAggressionDur,TransRitualizedAggressionFreq,TransAttacksReceived,TransDominanceDur,TransDominanceFreq,TransFollowDur,TransFollowFreq,TransSubmissiveDur,TransSubmissiveFreq,TransAnogenitalDur,TransAnogenitalFreq,TransSocialInactiveDur,TransSocialInactiveFreq,TransDigDur,TransDigFreq,TransInactiveDur,TransInactiveFreq,TransGroomDur,TransGroomFreq
 E11-01F,C,F,SHAM,D,Colin,271314,61174,0,16757,0,14564,0,171022,0,0,0,16237,0,0,3146,337128,8210,463,1,89,22,0,17,0,1,0,0,38,2,0,0,0,8,0,0,3,118,2,1,299,877241,276,852457,4,3609,40,171022,44,174631,-36,-167413,230,669616,26,47558,25,32994,1,14564,936.6119794,12.07043618,60.08327554,1.609437912,413.5492716,6.403124237,218.0802605,5.196152423,181.6452587,5.099019514,9.586376669,0.693147181,0,0,1.098612289,56.09812831,1.386294361,21.54065923,0.693147181,413.5492716,6.244997998,12.51103579,4.49980967,9.013229998,1.098612289,0,0,0,0,9.586376669,0.693147181
 E11-03F,C,F,SHAM,E, Colin,292702,67662,0,46951,0,11520,405,58842,0,0,0,76860,0,0,0,338972,0,6086,0,97,32,0,55,0,3,1,0,21,7,0,0,0,45,0,0,0,130,0,10,398,888480,298,764669,10,6086,29,59247,39,65333,-19,-53161,259,699336,103,135331,100,123811,3,11520,942.592701,11.08726785,78.0192284,2.397895273,243.4091206,5.477225575,367.8749788,10.19803903,351.8692939,10.04987562,9.351926736,1.386294361,0,0,2.079441542,1,0,78.0192284,2.397895273,242.5757614,4.69041576,12.58691372,4.584967479,0,0,0,0,0,0,9.351926736,1.386294361
 E16-02aF,T,F,SHAM,E, Colin,253034,121520,0,57739,3422,51761,0,57815,0,0,0,43218,0,0,19877,269821,20670,1123,0,93,44,0,49,5,11,0,0,12,5,0,0,0,28,0,0,4,126,1,2,363,824147,287,743860,6,21000,17,57815,23,78815,-11,-36815,263,644375,93,156140,77,100957,16,55183,907.8259745,11.2748713,144.9172177,1.945910149,240.4495789,4.242640687,395.1468082,9.695359715,317.7388865,8.831760866,10.91842834,2.833213344,0,0,1.791759469,140.9893613,1.609437912,33.52610923,1.098612289,240.4495789,3.605551275,12.4412831,4.543294782,9.936487031,0.693147181,0,0,8.138272639,1.791759469,10.85441157,2.48490665
 E13-03F,T,F,SHAM,D, Colin,236167,97391,0,45773,0,10308,0,56485,0,0,0,56455,0,0,0,388934,2548,5939,0,82,31,0,47,0,3,0,0,12,1,0,0,0,27,0,0,0,108,1,9,317,887144,244,787464,9,5939,13,56485,22,62424,-4,-50546,221,722492,77,112536,74,102228,3,10308,941.8837508,11.04172112,77.07139547,2.302585093,237.6678354,3.741657387,335.4653484,8.831760866,319.7327009,8.660254038,9.240772579,1.386294361,0,0,0.693147181,1,0,77.07139547,2.302585093,237.6678354,3.605551275,12.3722987,4.418840608,7.843456404,0.693147181,0,0,0,0,9.240772579,1.386294361
 E14-12F,T,F,SHAM,P, Colin,127758,164864,0,18532,0,23420,0,154414,0,0,0,26860,0,0,568,379740,3488,356,0,75,69,0,17,0,6,0,0,40,1,0,0,0,13,0,0,1,147,1,1,364,873092,335,831188,2,924,41,154414,43,155338,-39,-153490,291,672362,36,68812,30,45392,6,23420,934.3944563,11.9533651,30.41381265,1.098612289,392.9567406,6.480740698,262.3223208,6.08276253,213.0563306,5.567764363,10.06138833,1.945910149,0,0,0.693147181,23.85372088,0.693147181,18.89444363,0.693147181,392.9567406,6.403124237,11.75790096,4.33073334,8.157370441,0.693147181,0,0,0,0,10.06138833,1.945910149
 E16-02aF,T,F,SHAM,E, Colin,246461,169628,0,60391,0,10135,760,25634,0,0,0,43548,0,0,5059,325631,9418,3335,0,132,75,0,80,0,2,1,0,12,1,0,0,0,39,0,0,3,191,1,6,540,880447,422,785926,9,8394,14,26394,23,34788,-5,-18000,398,741720,121,114074,119,103939,2,10135,938.3219064,10.45705652,91.6242326,2.302585093,162.4653809,3.872983346,337.7499075,11.04536102,322.3972705,10.95445115,9.223848722,1.098612289,0,0,0.693147181,71.13367698,1.386294361,57.75811631,1.945910149,160.1093376,3.605551275,12.4149631,4.890349128,9.150484205,0.693147181,0,0,0,0,9.223848722,1.098612289
 E17-07F,T,F,SHAM,D, Colin,257290,47198,0,91657,0,10593,0,41920,0,0,0,160791,0,0,18008,271910,0,633,0,88,28,0,86,0,4,0,0,17,4,0,0,0,64,0,0,3,113,0,1,404,889407,254,636959,4,18641,21,41920,25,60561,-17,-23279,229,576398,154,263041,150,252448,4,10593,943.0843016,11.01142291,136.5357096,1.609437912,204.7461843,4.69041576,512.8762034,12.4498996,502.4430316,12.28820573,9.268043082,1.609437912,0,0,1.609437912,134.1976155,1.386294361,25.17935662,0.693147181,204.7461843,4.242640687,12.45796302,4.48863637,0,0,0,0,0,0,9.268043082,1.609437912
 E18-10F,T,F,SHAM,E, Colin,232432,103093,7144,85860,3382,14707,0,21220,0,0,0,99564,0,0,0,306570,0,26028,0,77,31,1,76,2,2,0,0,6,0,0,0,0,33,0,0,0,98,0,31,353,881911,243,689343,31,26028,6,21220,37,47248,25,4808,206,642095,114,210657,110,192568,4,18089,939.1016984,10.76318677,161.3350551,3.465735903,145.6742942,2.645751311,458.9749448,10.72380529,438.8268451,10.53565375,9.803114578,1.609437912,0,0,0,1,0,161.3350551,3.465735903,145.6742942,2.645751311,12.35635729,4.356708827,0,0,8.87416809,0.693147181,8.126518169,1.098612289,9.596146842,1.098612289
 E20-04F,T,F,SHAM,E, Colin,116399,112915,0,150195,12803,13971,0,35490,0,0,0,136153,0,0,0,258770,59389,3915,0,67,34,0,106,5,6,0,0,9,2,0,0,0,66,0,0,0,104,8,5,393,813837,229,586878,5,3915,11,35490,16,39405,-6,-31575,205,488084,183,313122,172,286348,11,26774,902.1297024,10.58167337,62.57795139,1.791759469,188.3905518,3.464101615,559.5739451,13.56465997,535.1158753,13.15294644,10.1952239,2.48490665,0,0,1.098612289,1,0,62.57795139,1.791759469,188.3905518,3.16227766,11.66478781,4.219507705,10.99188114,2.197224577,0,0,9.457512901,1.791759469,9.544810606,1.945910149
 E21-02F,C,F,SHAM,P, Colin,303029,65056,0,57353,1303,14815,0,46760,0,0,0,80470,0,0,3312,312085,3359,12458,0,93,29,0,72,1,3,0,0,7,1,0,0,0,30,0,0,2,106,1,19,359,880523,258,746059,21,15770,8,46760,29,62530,13,-30990,228,680170,106,153941,102,137823,4,16118,938.3624033,11.04341771,125.5826421,3.091042453,216.242919,3,392.3544316,10.34408043,371.2465488,10.14889157,9.687753979,1.609437912,0,0,0.693147181,57.55866572,1.098612289,111.6198907,2.995732274,216.242919,2.828427125,12.62158709,4.543294782,8.119696253,0.693147181,0,0,7.173191742,0.693147181,9.603462957,1.386294361
