Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv,TotalActivityOccur,TotalActivityDuration,TotalSocialOccur,TotalSocialDuration,AgonisticDeliveredOccur,AgonisticDeliveredDuration,AgonisticReceivedOccur,AgonisticReceivedDuration,AgonisticTotalOccur,AgonisticTotalDuration,DominanceScoreOccur,DominanceScoreDuration,SocialInvestigationOccur,SocialInvestigationDuration,NonSocialOccur,NonSocialDuration,NonSocialLocomotorOccur,NonSocialLocomotorDuration,InactiveNonSocialOccur,InactiveNonSocialDuration,TransTotalActivityDur,TransTotalAgonisticDur,TransAgonisticDeliveredDur,TransAgonisticDeliveredFreq,TransAgonisticReceivedDur,TransAgonisticReceivedFreq,TransNonSocialDur,TransNonSocialFreq,TransActiveNonSocialDur,TransActiveNonSocialFreq,TransInactiveNonSocialDur,TransInactiveNonSocialFreq,TransRitualizedAggressionDur,TransRitualizedAggressionFreq,TransAttacksReceived,TransDominanceDur,TransDominanceFreq,TransFollowDur,TransFollowFreq,TransSubmissiveDur,TransSubmissiveFreq,TransAnogenitalDur,TransAnogenitalFreq,TransSocialInactiveDur,TransSocialInactiveFreq,TransDigDur,TransDigFreq,TransInactiveDur,TransInactiveFreq,TransGroomDur,TransGroomFreq
 E47-01F,C,F,GDX,NA, Colin,383143,19801,0,68328,0,17565,381,114476,0,0,0,56051,0,0,0,228306,0,11949,0,149,18,0,76,0,9,1,0,45,0,0,0,0,23,0,0,0,139,0,23,474,882435,375,758056,23,11949,46,114857,69,126806,-23,-102908,306,631250,108,141944,99,124379,9,17565,939.380647,11.75042152,109.3160555,3.17805383,338.9070669,6.8556546,376.7558891,10.44030651,352.6754882,10,9.773720494,2.302585093,0,0,0,1,0,109.3160555,3.17805383,338.344499,6.782329983,12.85616618,5.010635294,0,0,0,0,0,0,9.773720494,2.302585093
 E51-08M,T,M,REP,NA, Colin,79048,137793,34114,98724,0,68085,888,18111,0,0,0,221715,0,0,32650,207017,0,1855,0,45,65,15,104,0,33,1,0,11,0,0,0,0,77,0,0,9,106,0,3,436,831915,240,477362,12,34505,12,18999,24,53504,0,15506,216,423858,229,422638,196,354553,33,68085,912.0942934,10.88753039,185.757907,2.564949357,137.8404875,3.605551275,650.1069143,15.16575089,595.4443719,14.03566885,11.12852689,3.526360525,0,0,0,180.6958771,2.302585093,43.08131846,1.386294361,134.5808307,3.464101615,11.27782319,3.828641396,0,0,10.43749245,2.772588722,0,0,11.12852689,3.526360525
 E10-02F,C,F,REP,NA, Colin,130836,103954,0,17061,0,3420,0,96251,0,0,708,18892,0,0,0,528582,0,296,0,91,66,0,13,0,2,0,0,32,7,0,0,1,9,0,0,0,171,0,1,391,896580,369,860627,1,296,39,96251,40,96547,-38,-95955,328,763372,24,39373,22,35953,2,3420,946.8796122,11.47779557,17.23368794,0.693147181,310.2450644,6.32455532,198.4288286,5,189.6154002,4.795831523,8.137688185,1.098612289,6.563855527,0.693147181,2.079441542,1,0,17.23368794,0.693147181,310.2450644,5.744562647,11.78170755,4.521788577,0,0,0,0,0,0,8.137688185,1.098612289
 E10-10F,C,F,REP,NA, Colin,179345,185949,0,10804,3120,1319,0,52874,0,0,0,0,0,0,0,464565,0,2024,0,90,62,0,9,1,1,0,0,19,4,0,0,0,0,0,0,0,134,0,3,321,895561,312,884757,3,2024,23,52874,26,54898,-20,-50850,286,829859,11,15243,9,10804,2,4439,946.341376,10.91325041,45,1.386294361,229.9456458,4.898979486,123.4665947,-999,103.9471019,3.16227766,8.398409655,1.098612289,0,0,1.609437912,1,0,45,1.386294361,229.9456458,4.472135955,12.09707218,4.510859507,0,0,0,0,8.045908742,0.693147181,7.185387016,0.693147181
 E11-01F,C,F,SHAM,D,Colin,271314,61174,0,16757,0,14564,0,171022,0,0,0,16237,0,0,3146,337128,8210,463,1,89,22,0,17,0,1,0,0,38,2,0,0,0,8,0,0,3,118,2,1,299,877241,276,852457,4,3609,40,171022,44,174631,-36,-167413,230,669616,26,47558,25,32994,1,14564,936.6119794,12.07043618,60.08327554,1.609437912,413.5492716,6.403124237,218.0802605,5.196152423,181.6452587,5.099019514,9.586376669,0.693147181,0,0,1.098612289,56.09812831,1.386294361,21.54065923,0.693147181,413.5492716,6.244997998,12.51103579,4.49980967,9.013229998,1.098612289,0,0,0,0,9.586376669,0.693147181
 E11-03F,C,F,SHAM,E, Colin,292702,67662,0,46951,0,11520,405,58842,0,0,0,76860,0,0,0,338972,0,6086,0,97,32,0,55,0,3,1,0,21,7,0,0,0,45,0,0,0,130,0,10,398,888480,298,764669,10,6086,29,59247,39,65333,-19,-53161,259,699336,103,135331,100,123811,3,11520,942.592701,11.08726785,78.0192284,2.397895273,243.4091206,5.477225575,367.8749788,10.19803903,351.8692939,10.04987562,9.351926736,1.386294361,0,0,2.079441542,1,0,78.0192284,2.397895273,242.5757614,4.69041576,12.58691372,4.584967479,0,0,0,0,0,0,9.351926736,1.386294361
 E11-03M,C,M,GDX,NA, Colin,142900,111097,0,108499,3595,50342,0,178279,0,0,0,40465,0,0,0,183048,78774,3001,0,55,26,0,74,3,9,0,0,15,2,0,0,0,23,0,0,0,66,9,4,265,767289,177,697099,4,3001,17,178279,21,181280,-13,-175278,147,437045,109,202901,97,148964,12,53937,875.9509119,12.10780359,54.79051013,1.609437912,422.2321636,4.242640687,450.4464452,10.48808848,385.9598425,9.899494937,10.89559052,2.564949357,0,0,1.098612289,1,0,54.79051013,1.609437912,422.2321636,4,11.86990736,4.025351691,11.27435097,2.302585093,0,0,8.187577396,1.386294361,10.82661486,2.302585093
 E11-11F,C,F,REP,NA, Colin,168241,131771,0,31262,936,8322,0,71699,0,0,0,95167,0,0,0,391596,0,1006,0,100,73,0,48,1,3,0,0,31,2,0,0,0,46,0,0,0,178,0,2,480,890742,386,764313,2,1006,33,71699,35,72705,-31,-70693,351,691608,98,135687,94,126429,4,9258,943.7918203,11.19417919,31.73326331,1.098612289,267.7685568,5.830951895,368.358521,9.949874371,355.569965,9.746794345,9.13335133,1.609437912,0,0,1.098612289,1,0,31.73326331,1.098612289,267.7685568,5.656854249,12.0331587,4.615120517,0,0,0,0,6.842683282,0.693147181,9.026778046,1.386294361
 E12-03F,T,F,REP,NA, Colin,306681,138579,0,30225,5791,0,0,99836,0,0,0,15755,0,0,0,299401,0,3732,0,87,36,0,21,2,0,0,0,14,6,0,0,0,15,0,0,0,121,0,5,305,894209,269,848229,5,3732,20,99836,25,103568,-15,-96104,244,744661,38,51771,36,45980,2,5791,945.6267763,11.54799334,61.09828148,1.791759469,315.9699353,4.582575695,227.5346128,6.244997998,214.4318073,6.08276253,8.664232934,1.098612289,0,0,1.945910149,1,0,61.09828148,1.791759469,315.9699353,3.872983346,12.63356666,4.477336814,0,0,0,0,8.664232934,1.098612289,0,0
 E12-07F,T,F,GDX,NA, Colin,336026,108506,0,57846,10550,14965,0,37204,0,0,0,65048,0,0,0,263423,0,6432,0,84,26,0,60,8,4,0,0,9,0,0,0,0,40,0,0,0,100,0,8,327,874485,227,751591,8,6432,9,37204,17,43636,-1,-30772,210,707955,112,148409,100,122894,12,25515,935.1395618,10.68366069,80.20598481,2.197224577,192.8859767,3.16227766,385.2401848,10.63014581,350.5638316,10.04987562,10.14706099,2.564949357,0,0,0,1,0,80.20598481,2.197224577,192.8859767,3.16227766,12.72494679,4.442651256,0,0,0,0,9.263975921,2.197224577,9.613536241,1.609437912
