,Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv,TotalActivityOccur,TotalActivityDuration,TotalSocialOccur,TotalSocialDuration,AgonisticDeliveredOccur,AgonisticDeliveredDuration,AgonisticReceivedOccur,AgonisticReceivedDuration,AgonisticTotalOccur,AgonisticTotalDuration,DominanceScoreOccur,DominanceScoreDuration,SocialInvestigationOccur,SocialInvestigationDuration,NonSocialOccur,NonSocialDuration,NonSocialLocomotorOccur,NonSocialLocomotorDuration,InactiveNonSocialOccur,InactiveNonSocialDuration,TransTotalActivityDur,TransTotalAgonisticDur,TransAgonisticDeliveredDur,TransAgonisticDeliveredFreq,TransAgonisticReceivedDur,TransAgonisticReceivedFreq,TransNonSocialDur,TransNonSocialFreq,TransActiveNonSocialDur,TransActiveNonSocialFreq,TransInactiveNonSocialDur,TransInactiveNonSocialFreq,TransRitualizedAggressionDur,TransRitualizedAggressionFreq,TransAttacksReceived,TransDominanceDur,TransDominanceFreq,TransFollowDur,TransFollowFreq,TransSubmissiveDur,TransSubmissiveFreq,TransAnogenitalDur,TransAnogenitalFreq,TransSocialInactiveDur,TransSocialInactiveFreq,TransDigDur,TransDigFreq,TransInactiveDur,TransInactiveFreq,TransGroomDur,TransGroomFreq
1, E10-03F,C,F,PRE,NA, Colin,189029,-999,0,87526,0,51024,0,118318,0,0,0,120004,0,7205,26770,157851,0,4774,0,64,44,0,74,0,11,0,0,28,0,0,0,0,51,0,2,8,80,0,4,355,848976,228,634241,12,31544,28,118318,40,149862,-16,-86774,188,484379,138,265759,125,207530,11,51024,921.3994791,11.91747682,177.6091214,2.564949357,343.9752898,5.385164807,515.5191558,11.78982612,455.5557046,11.22497216,10.84007099,2.48490665,0,0,0,163.6184586,2.197224577,69.10137481,1.609437912,343.9752898,5.385164807,12.14966101,4.17438727,0,0,0,0,0,0,10.84007099,2.48490665
2, E10-10F,C,F,PRE,NA, Colin,287354,-999,0,39501,0,62021,0,17835,0,0,2570,4539,0,0,0,291698,0,27313,0,96,61,0,-999,0,5,0,0,3,0,0,0,2,3,0,0,0,124,0,22,336,837979,308,793939,22,27313,3,17835,25,45148,19,9478,281,746221,33,106061,28,44040,5,62021,915.4124753,10.71772341,165.2694769,3.135494216,133.5514882,2,325.6716137,5.830951895,209.8594768,5.385164807,11.03524444,1.791759469,7.852050207,1.098612289,0,1,0,165.2694769,3.135494216,133.5514882,2,12.56847366,4.574710979,0,0,0,0,0,0,11.03524444,1.791759469
3, E11-01F,C,F,PRE,NA, Colin,316865,19577,431,108844,0,16845,519,31081,0,0,0,101683,896,0,0,298149,0,5110,2,109,18,1,92,0,7,1,0,16,2,0,0,0,48,1,0,0,118,0,8,416,883155,275,672197,8,5110,19,31600,27,36710,-11,-26490,248,635487,148,227803,141,210958,7,16845,939.7638001,10.51083172,71.49125821,2.197224577,177.766701,4.472135955,477.2881729,12.20655562,459.3027324,11.91637529,9.731868519,2.079441542,0,0,1.098612289,1,0,71.49125821,2.197224577,176.3008792,4.123105626,12.66623425,4.700480366,0,0,6.068425588,0.693147181,0,0,9.731868519,2.079441542
4, E11-03F,C,F,PRE,NA, Colin,236537,106028,0,54252,0,45854,1007,66453,0,0,0,37634,0,0,3131,333336,0,15768,1,100,55,0,49,0,9,1,0,17,6,0,0,0,25,0,0,1,147,0,18,420,854146,346,762260,19,18899,24,67460,43,86359,-5,-48561,303,675901,83,137740,74,91886,9,45854,924.2007358,11.36627988,137.4772708,2.995732274,259.7325548,5,371.1347464,9.16515139,303.1286855,8.660254038,10.73323952,2.302585093,0,0,1.945910149,55.96427432,0.693147181,125.574679,2.944438979,257.7867336,4.242640687,12.37386415,4.615120517,0,0,0,0,0,0,10.73323952,2.302585093
5, E11-03M,C,M,PRE,NA, Colin,102490,55871,3028,228250,609,18202,3209,46168,0,1231,64883,205645,0,0,8413,145116,6740,10145,1,54,30,3,173,1,9,3,19,7,11,0,1,14,107,0,0,2,75,2,12,512,874449,231,444266,33,18558,21,49377,54,67935,12,-30819,160,303477,293,455734,283,436923,10,18811,935.1203131,11.12632136,136.2314208,3.526360525,222.2116109,4.69041576,675.0814766,17.1464282,661.0022693,16.85229955,9.842250243,2.397895273,11.08035634,2.708050201,2.48490665,91.72785836,1.098612289,100.7273548,2.564949357,214.869728,2.828427125,11.53753027,4.007333185,8.815963561,1.098612289,8.015987811,1.386294361,6.413458957,0.693147181,9.809341695,2.302585093
6, E11-11F,C,F,PRE,NA, Colin,155269,34029,45184,156655,0,20829,23013,15116,0,0,2575,123435,0,4379,15282,299274,0,4960,0,85,26,11,116,0,8,6,0,10,2,0,0,2,57,0,1,5,129,0,8,458,879171,273,549518,13,20242,18,38129,31,58371,-5,-17887,240,488572,193,350482,184,325274,8,20829,937.6417226,10.9745916,142.2778971,2.63905733,195.2690452,4.358898944,592.0160471,13.92838828,570.3288525,13.60147051,9.944149534,2.197224577,7.853993087,1.098612289,1.098612289,123.6244312,1.791759469,70.43436661,2.197224577,122.9512098,3.31662479,11.95292082,4.454347296,0,0,10.71852045,2.48490665,0,0,9.944149534,2.197224577
7, E12-03F,T,F,PRE,NA, Colin,284260,87046,0,64047,612,11766,0,17756,0,0,0,30025,0,0,45450,340428,0,18610,1,130,52,0,51,1,5,0,0,9,0,0,0,0,25,0,0,6,165,0,25,464,887622,388,793550,31,64060,9,17756,40,81816,22,46304,348,711734,82,106450,76,94072,6,12378,942.1374634,11.31224032,253.1027459,3.465735903,133.2553939,3.16227766,326.2682945,9.110433579,306.7132211,8.774964387,9.423756768,1.945910149,0,0,0,213.1924014,1.945910149,136.422139,3.258096538,133.2553939,3.16227766,12.55764811,4.875197323,0,0,0,0,6.418364936,0.693147181,9.373054282,1.791759469
8, E12-07Fb,T,F,PRE,NA, Colin,156368,100492,0,128991,1200,10329,0,70428,0,0,0,85796,0,0,37855,240948,44166,23427,0,65,35,0,71,1,3,0,0,11,0,0,0,0,47,0,0,7,90,7,13,339,844305,228,673684,20,61282,11,70428,31,131710,9,-9146,190,497808,122,226316,118,214787,4,11529,918.8612518,11.78836541,247.5540345,3.044522438,265.3846265,3.464101615,475.7278634,11.09053651,463.4522629,10.90871211,9.352707613,1.609437912,0,0,0,194.5661841,2.079441542,153.0620789,2.63905733,265.3846265,3.464101615,11.95997388,4.189654742,10.69573318,2.079441542,0,0,7.090909822,0.693147181,9.242807562,1.386294361
9, E12-10Fb,T,F,PRE,NA, Colin,238704,49531,11623,131043,0,37504,0,8808,0,0,0,124994,0,0,564,285706,2168,9355,0,77,29,3,89,0,13,0,0,3,0,0,0,0,58,0,0,1,89,1,13,362,860328,213,594836,14,9919,3,8808,17,18727,11,1111,195,573941,163,305164,150,267660,13,37504,927.5392175,9.837775009,99.59919678,2.708050201,93.8562731,2,552.4174146,12.80624847,517.3596428,12.28820573,10.53222954,2.63905733,0,0,0,23.76972865,0.693147181,96.72641831,2.63905733,93.8562731,2,12.38298376,4.356708827,7.682021511,0.693147181,9.360827205,1.386294361,0,0,10.53222954,2.63905733
10, E12-15F,T,F,PRE,NA, Colin,312574,50923,0,76786,885,74457,0,76861,650,0,0,30503,2114,0,0,255161,0,19086,2,107,28,0,65,1,10,0,0,10,0,1,0,0,19,1,0,0,129,0,25,387,824658,303,717369,25,19086,11,77511,36,96597,14,-58425,267,620772,95,182631,84,107289,11,75342,908.1073725,11.47831332,138.1557093,3.258096538,278.4097699,3.464101615,427.3546537,9.797958971,327.5515227,9.219544457,11.2298063,2.48490665,0,0,0,1,0,138.1557093,3.258096538,277.2399683,3.31662479,12.65259972,4.682131227,0,0,0,0,6.786716951,0.693147181,11.21799049,2.397895273
11, E13-02F,T,F,PRE,NA, Colin,243759,45195,26804,109561,0,40661,0,4431,0,0,0,47714,0,0,104883,271761,0,5231,0,89,36,7,86,0,6,0,0,6,0,0,0,0,36,0,0,7,142,0,5,414,859339,285,675260,12,110114,6,4431,18,114545,6,105683,267,560715,135,224740,129,184079,6,40661,927.0059331,11.64873177,331.8358028,2.564949357,66.57326791,2.645751311,474.0685604,11.66190379,429.0454521,11.40175425,10.61304927,1.945910149,0,0,0,323.8579936,2.079441542,72.33256528,1.791759469,66.57326791,2.645751311,12.40393941,4.49980967,0,0,10.19634372,2.079441542,0,0,10.61304927,1.945910149
12, E13-BF,T,F,PRE,NA, Colin,287836,56980,0,66154,1543,23373,552,77594,0,0,0,20279,0,0,1339,343998,471,19881,1,107,28,0,62,3,6,1,0,12,0,0,0,0,14,0,0,1,116,1,28,370,874613,295,788651,29,21220,13,78146,42,99366,16,-56926,252,688814,85,111349,76,86433,9,24916,935.2079983,11.50657535,145.6742942,3.401197382,279.5478492,3.741657387,333.6914743,9.273618495,293.9965986,8.774964387,10.12330558,2.302585093,0,0,0,36.60601044,0.693147181,141.0035461,3.36729583,278.5587909,3.605551275,12.57014963,4.682131227,6.156978986,0.693147181,0,0,7.342131731,1.386294361,10.05937957,1.945910149
13, E13M,T,M,PRE,NA, Colin,149601,47759,0,103106,15082,21562,21318,95250,4072,54801,9092,39448,0,0,44558,220319,50531,23501,1,86,26,0,92,8,10,11,4,10,13,1,7,8,35,0,0,6,99,3,30,429,812825,305,720802,40,68059,35,120640,75,188699,5,-52581,212,417679,145,179198,127,142554,18,36644,901.568633,12.14791373,260.8831156,3.713572067,347.3341331,6,423.3190286,12.08304597,377.564564,11.3137085,10.50903227,2.944438979,9.115260166,2.197224577,2.63905733,211.0900282,1.945910149,153.3036203,3.433987204,308.6276073,3.31662479,11.91573371,4.465908119,10.83036208,1.386294361,0,0,9.621323561,2.197224577,9.978734162,2.397895273
14, E14-11M,T,M,PRE,NA, Colin,233643,50161,0,48445,1167,37685,868,213170,0,0,0,22216,0,0,29480,195313,49239,18613,0,59,19,0,48,1,5,2,0,14,0,0,0,0,14,0,0,2,66,8,17,241,811909,187,790487,19,48093,16,214038,35,262131,3,-165945,144,479117,68,109513,62,70661,6,38852,901.0604863,12.47660347,219.3034427,2.995732274,462.6434913,4.123105626,330.9289954,8.306623863,265.8232495,7.937253933,10.56754057,1.945910149,0,0,0,171.7003203,1.098612289,136.4331338,2.890371758,461.7044509,3.872983346,12.36155387,4.094344562,10.80446158,2.197224577,0,0,7.063048163,0.693147181,10.53704395,1.791759469
15, E14-12Fb,T,F,PRE,NA, Colin,235509,74522,0,53232,0,2937,1301,131754,0,0,0,25529,0,0,23568,332899,0,18749,1,120,49,0,58,0,3,1,0,38,0,0,0,0,23,0,0,6,155,0,30,481,897063,400,818302,36,42317,39,133055,75,175372,-3,-90738,325,642930,84,81698,81,78761,3,2937,947.1346261,12.07467041,205.7133929,3.610917913,364.7684197,6.32455532,285.8303693,9.219544457,280.6456841,9.055385138,7.985484357,1.386294361,0,0,0,153.5219854,1.945910149,136.9306394,3.433987204,362.9807157,6.244997998,12.36950865,4.795790546,0,0,0,0,0,0,7.985484357,1.386294361
16, E14-14Fb,T,F,PRE,NA, Colin,157500,15402,0,211042,57360,8553,3280,96829,5132,0,0,94198,1408,0,0,213255,14649,21392,13,61,8,0,134,30,6,3,0,22,0,3,0,0,45,1,0,0,81,4,15,386,819438,211,528847,15,21392,28,105241,43,126633,-13,-83849,164,387565,215,371153,179,305240,36,65913,905.2287004,11.74905632,146.2634609,2.772588722,324.4102341,5.385164807,609.2240967,14.69693846,552.4861989,13.41640786,11.09610614,3.610917913,0,0,0,1,0,146.2634609,2.772588722,311.1751918,4.795831523,11.96718709,4.127134385,9.592195614,1.609437912,0,0,10.95711991,3.433987204,9.054154289,1.945910149
17, E14M,T,M,PRE,NA, Colin,104981,26485,1408,192077,107302,29757,84346,43447,6483,91054,7300,66617,0,0,7517,118279,0,12947,11,46,25,1,85,20,5,23,3,6,43,3,13,5,34,0,0,6,63,0,16,383,762941,263,502839,25,20464,75,134276,100,154740,-50,-113812,145,249745,145,397161,120,260102,25,137059,873.4655116,11.94950803,143.0559331,3.258096538,366.4382622,8.717797887,630.2079022,12.08304597,510.0029412,11,11.82817407,3.258096538,8.895766604,1.791759469,3.784189634,86.70640115,1.945910149,113.7892789,2.833213344,208.4418384,2.645751311,11.56154419,3.850147602,0,0,7.250635512,0.693147181,11.58341189,3.044522438,10.30085328,1.791759469
18, E15-03M,C,M,PRE,NA, Colin,202890,54786,1728,167474,8053,8556,51213,31262,12222,0,4505,140231,0,0,21823,182342,3959,8956,5,94,34,1,153,7,8,32,0,16,27,6,0,2,86,0,0,8,103,1,14,581,879432,342,573958,22,30779,81,94697,103,125476,-59,-63918,236,440018,255,326042,240,309433,15,16609,937.7808913,11.73987775,175.4422982,3.135494216,307.7304015,9.055385138,571.0017513,16,556.2679211,15.5241747,9.717760203,2.772588722,8.413165121,1.098612289,3.33220451,147.7294825,2.197224577,94.64142856,2.708050201,176.813461,4.123105626,12.22042417,4.553876892,8.283999304,0.693147181,7.455298486,0.693147181,8.993924141,2.079441542,9.05450494,2.197224577
19, E15-04M,C,M,PRE,NA, Colin,189798,42900,2690,194683,823,35363,819,46671,664,0,3342,158308,0,0,44923,156960,0,22056,1,89,36,2,134,1,22,2,0,10,0,1,0,1,73,0,0,10,93,0,27,479,863814,270,508133,37,66979,13,48154,50,115133,24,18825,219,389658,232,391867,209,355681,23,36186,929.4164836,11.65385195,258.8049459,3.63758616,219.4424754,3.741657387,625.9936102,15.26433752,596.3908115,14.49137675,10.49645522,3.17805383,8.114623886,0.693147181,0,211.9528249,2.397895273,148.5159924,3.33220451,216.0370339,3.31662479,12.1537209,4.49980967,0,0,7.897668151,1.098612289,6.71417053,0.693147181,10.47344963,3.135494216
