"","Subject","Treatment","Sex","Gonad","Scorer","SniffAnoDur","SniffHeadDur","DigDur","ActiveHDur","InactiveDur","GroomDur","AvoidDur","SubDur","DefenseDur","OpenAggDur","RitAggDur","ActiveVDur","ApproachDur","StereoDur","DomDur","SniffBodyDur","InactiveTogetherDur","FollowDur","StretchEv","SniffAnoEv","SniffHeadEv","DigEv","ActiveHEv","InactiveEv","GroomEv","AvoidEv","AttackDelEv","SubEv","AttackRecEv","DefenseEv","OpenAggEv","RitAggEv","ActiveVEv","ApproachEv","StereoEv","DomEv","SniffBodyEv","InactiveTogetherEv","FollowEv","TotalActivityOccur","TotalActivityDuration","TotalSocialOccur","TotalSocialDuration","AgonisticDeliveredOccur","AgonisticDeliveredDuration","AgonisticReceivedOccur","AgonisticReceivedDuration","AgonisticTotalOccur","AgonisticTotalDuration","DominanceScoreOccur","DominanceScoreDuration","SocialInvestigationOccur","SocialInvestigationDuration","NonSocialOccur","NonSocialDuration","NonSocialLocomotorOccur","NonSocialLocomotorDuration","InactiveNonSocialOccur","InactiveNonSocialDuration"
"218"," E10-02F","C","F","REP"," Colin",12501,160072,9396,175845,38358,197384,0,81350,1635,0,15676,202450,0,0,525474,288984,90875,0,0,4,62,2,128,4,31,0,1,14,1,1,0,1,74,0,0,43,78,5,0,409,1473383,210,1176567,44,525474,16,82985,60,608459,28,442489,144,461557,239,623433,204,387691,35,235742
"219"," E1-01","T","M","GDX"," Colin",210003,71715,646,197957,8261,424848,0,297421,964,0,0,111083,1320,0,0,225921,240636,9225,0,79,32,2,150,4,74,0,0,25,0,3,0,0,36,1,0,0,98,14,10,436,1126255,262,1057205,10,9225,28,298385,38,307610,-18,-289160,210,508959,266,742795,188,309686,78,433109
"220"," E10-10F","C","F","REP"," Colin",273155,461056,0,70706,3886,121791,0,41499,0,0,0,52534,0,0,67751,664072,43550,0,0,114,81,0,64,3,13,0,0,17,1,0,0,0,21,0,0,13,192,10,0,503,1630773,428,1551083,13,67751,18,41499,31,109250,-5,26252,387,1398283,101,248917,85,123240,16,125677
"221"," E10-13M","C","M","REP"," Colin",18006,231296,0,113194,0,198010,0,112434,1392,0,0,103748,0,0,132206,193859,695855,0,0,6,45,0,75,0,27,0,0,18,0,1,0,0,43,0,0,16,68,26,0,272,906135,180,1385048,16,132206,19,113826,35,246032,-3,18380,119,443161,145,414952,118,216942,27,198010
"222"," E1-02","T","M","SHAM"," Colin",31597,270420,0,235961,0,208495,0,31826,1670,0,151052,305466,0,0,93739,411481,57032,1261,0,21,95,0,225,0,49,0,55,9,3,2,0,29,129,0,0,35,179,4,1,783,1534473,433,1050078,91,95000,14,33496,105,128496,77,61504,295,713498,403,749922,354,541427,49,208495
"223"," E1-04","T","M","REP"," Colin",71690,195403,0,263648,6111,312106,0,129319,0,0,0,344680,0,0,120093,325671,27427,3852,0,43,66,0,215,3,64,0,0,22,0,0,0,0,109,0,0,28,135,7,3,621,1454356,304,873455,31,123945,22,129319,53,253264,9,-5374,244,592764,391,926545,324,608328,67,318217
"224"," E11-01F","C","F","REP"," Colin",40285,100924,0,270063,699,596705,0,0,0,0,0,208519,0,2040,325200,152365,103200,0,0,16,27,0,149,1,81,0,0,0,0,0,0,0,69,0,1,26,59,12,0,347,1099396,140,721974,26,325200,0,0,26,325200,26,325200,102,293574,301,1078026,218,478582,82,597404
"225"," E11-03F","C","F","SHAM"," Colin",64911,116919,0,134020,18794,187489,0,135077,0,0,0,93746,0,0,15416,239636,792801,1191,0,24,35,0,87,4,35,0,0,11,0,0,0,0,43,0,0,6,75,19,1,282,800916,171,1365951,7,16607,11,135077,18,151684,-4,-118470,134,421466,169,434049,130,227766,39,206283
"226"," E11-03M","C","M","GDX"," Colin",79124,86231,0,246688,59317,362857,0,306687,0,0,0,179420,0,1548,3809,141912,332407,0,1,31,37,0,148,15,60,0,0,36,1,0,0,0,73,0,1,4,75,20,0,407,1045419,205,950170,4,3809,37,306687,41,310496,-33,-302878,144,307267,297,849830,221,426108,75,422174
"227"," E11-07F","C","F","REP"," Colin",85966,213835,0,112720,7394,405516,0,165041,708,0,0,153098,0,0,142672,367291,139827,5932,0,44,54,0,96,2,49,0,2,15,0,1,0,0,50,0,0,27,119,16,4,412,1247263,282,1121272,33,148604,16,165749,49,314353,17,-17145,217,667092,197,678728,146,265818,51,412910
"228"," E11-11F","C","F","REP"," Colin",194435,55049,0,209419,4659,362695,0,114397,0,0,0,242165,0,1042,152449,403897,51252,8541,0,102,31,0,184,1,56,0,0,14,0,0,0,0,77,0,1,9,139,7,9,566,1381394,311,980020,18,160990,14,114397,32,275387,4,46593,272,653381,319,819980,261,451584,57,367354
"229"," E12-01F","T","F","SHAM"," Colin",58150,329062,0,290886,19039,230950,2870,160285,0,0,1849,221871,0,0,79238,383853,21947,0,0,31,81,0,199,5,56,1,0,33,1,0,0,1,85,0,0,9,138,7,0,579,1528064,302,1037254,9,79238,35,163155,44,242393,-26,-83917,250,771065,345,762746,284,512757,61,249989
"230"," E12-08M","T","M","REP"," Colin",49494,264789,13185,222382,19317,594498,0,0,0,59950,138890,241436,0,0,25191,125853,2640,42375,0,23,74,2,141,4,63,0,47,0,1,0,18,42,53,0,0,10,72,1,9,492,1183545,297,709182,66,67566,1,0,67,67566,65,67566,169,440136,263,1090818,196,477003,67,613815
"231"," E12-10Fa","T","F","REP"," Colin",269922,105850,0,254756,77813,431167,0,43114,0,0,0,39259,0,0,2690,429203,145050,1176,0,79,32,0,149,11,80,0,0,7,0,0,0,0,20,0,0,2,114,10,1,404,1145970,245,997005,3,3866,7,43114,10,46980,-4,-39248,225,804975,260,802995,169,294015,91,508980
"232"," E12-12F","T","F","REP"," Colin",95005,159595,0,240649,96438,730963,0,166902,781,0,852,47575,0,0,0,208298,52942,0,0,23,35,0,115,13,88,0,0,21,0,1,0,1,19,0,0,0,57,7,0,272,919657,145,684375,0,0,22,167683,22,167683,-22,-167683,115,462898,235,1115625,134,288224,101,827401
"233"," E12-15F","T","F","SHAM"," Colin",133032,64822,6727,278911,58666,460739,513,59371,0,0,0,136833,0,2293,130627,286604,178627,2235,0,68,28,1,199,8,84,1,1,22,0,0,0,0,62,0,1,14,120,24,2,519,1101968,280,855831,17,132862,23,59884,40,192746,-6,72978,216,484458,355,944169,262,422471,92,519405
