Litter,PD0,Treatment,PD4,PD8,PD12,PD16,PD20
E1,03-Feb-15,T,25.74,44.52,63.53,74,-999
E2,03-Feb-15,C,26.06,44.59,65.54,80.68,-999
E3,02-Feb-15,T,28.48,51.56,-999,83.78,-999
E4,02-Feb-15,C,29.11,52.56,-999,83.85,-999
E5,02-Feb-15,T,31.34,53.9,-999,83.18,-999
E6,03-Feb-15,T,27.77,48.57,70.55,81.64,-999
E7,03-Feb-15,C,27.27,49.31,72.7,82.47,-999
E8,02-Jun-15,C,26.4,48.54,73.01,83.52,111.4
E9,03-Jun-15,C,37.49,59.68,81.96,88.7,121.4
E10,03-Jun-15,C,35.88,58.12,80.06,93.07,123.3
E11,03-Jun-15,C,32.11,54.97,77.71,85.33,114.7
E12,04-Jun-15,T,36.29,58.6,78.25,81.81,122
E13,04-Jun-15,T,32.01,53.8,73.22,81.73,114.7
E14,04-Jun-15,T,33.64,56,72.06,74.82,104.4
E15,04-Jun-15,C,37.67,58.7,71.24,80.64,115.8
E16,04-Jun-15,T,31.28,54.3,70.01,74.47,99.6
E17,05-Jun-15,T,31.5,56.6,77.17,85.53,112.2
E18,05-Jun-15,T,38.38,61.16,82.09,94.69,133.3
E20,26-Aug-15,T,33.54,57.81,-999,-999,146.92
E21,26-Aug-15,C,27.21,48.77,-999,-999,127.61
E22,26-Aug-15,T,35.1,-999,77.48,-999,-999
E23,26-Aug-15,T,35.87,58.75,-999,-999,134.64
E24,26-Aug-15,T,32.1,-999,72.38,-999,-999
E25,26-Aug-15,T,34.21,60.25,79.23,-999,148.29
E26,26-Aug-15,C,34.28,57.85,75,-999,145.54
E27,26-Aug-15,C,31.88,54.25,74.51,-999,147.73
E28,26-Jan-16,C,32.4,54.6,71.17,76.9,133.3
E29,26-Jan-16,C,28.78,51.7,71.19,84.5,130.6
E30,26-Jan-16,C,35.01,59.8,77.56,91,154.7
E31,26-Jan-16,C,31.73,55.1,74.31,83.1,146.6
E32,26-Jan-16,C,31.58,53.9,68.94,74.9,121.9
E33,26-Jan-16,C,28.86,50.7,70.78,82.7,136.3
E34,26-Jan-16,C,29.6,52.3,75.88,81.8,137.7
E35,26-Jan-16,C,31.34,55.7,77.11,87.8,138.1
E36,26-Jan-16,T,30.76,51.9,70.84,81.6,131.5
E37,26-Jan-16,T,32.95,54.4,72.6,82.3,139.1
E38,26-Jan-16,T,32.63,55,73.72,84.3,143.11
E39,26-Jan-16,T,29.04,52.1,71.17,81,133.1
E40,26-Jan-16,T,34.64,57.7,79.34,87.6,147.7
E41,26-Jan-16,T,29.24,51.9,69.17,71.8,123.8
E42,26-Jan-16,T,28.3,50.5,67.78,81.6,135.8
E43,26-Jan-16,T,30.54,55.1,74.9,82.3,135.4
E44,29-Mar-16,C,25.9,49.1,59.7,87,114.4
E45,29-Mar-16,C,28,43.9,78.81,99.3,110.2
E46,29-Mar-16,C,43.14,63.2,71.8,97.9,148.2
E47,29-Mar-16,C,28.6,48.4,60,84.9,111.5
E48,29-Mar-16,C,25.1,40,49.2,70.1,97.1
E50,29-Mar-16,T,-999,20.74,28.5,45.2,61.3
E51,29-Mar-16,T,41.3,60.2,68.5,90.1,131.7
E52,29-Mar-16,T,-999,20.74,28.5,82.8,131.7
E53,29-Mar-16,T,32.1,51.5,60.9,84.4,116.3
