Subject,Treatment,PD0,Edate,FirstEstrus,,,,
E35-08,C,26-Jan-16,04-Mar-16,38,,,,
E35-02,C,26-Jan-16,29-Feb-16,34,,,,
E35-01,C,26-Jan-16,01-Mar-16,35,,,,
E34-08,C,26-Jan-16,01-Mar-16,35,,,,
E34-04,C,26-Jan-16,02-Mar-16,36,,,,
E34-03,C,26-Jan-16,02-Mar-16,36,,,,
E34-02,C,26-Jan-16,29-Feb-16,34,,,,
E34-01,C,26-Jan-16,03-Mar-16,37,,,,
E33-08,C,26-Jan-16,03-Mar-16,37,,,,
E33-06,C,26-Jan-16,03-Mar-16,37,,,,
E33-04,C,26-Jan-16,03-Mar-16,37,,,,
E33-02,C,26-Jan-16,02-Mar-16,36,,,,
E33-01,C,26-Jan-16,03-Mar-16,37,,,,
E32-08,C,26-Jan-16,29-Feb-16,34,,,,
E32-06,C,26-Jan-16,29-Feb-16,34,,,,
E32-05,C,26-Jan-16,02-Mar-16,36,,,,
E32-04,C,26-Jan-16,03-Mar-16,37,,,,
E32-03,C,26-Jan-16,02-Mar-16,36,,,,
E31-08,C,26-Jan-16,01-Mar-16,35,,,,
E31-03,C,26-Jan-16,01-Mar-16,35,,,,
E31-02,C,26-Jan-16,01-Mar-16,35,,,,
E31-01,C,26-Jan-16,02-Mar-16,36,,,,
E30-06,C,26-Jan-16,02-Mar-16,36,,,,
E29-08,C,26-Jan-16,05-Mar-16,39,,,,
E29-04,C,26-Jan-16,03-Mar-16,37,,,,
E29-03,C,26-Jan-16,02-Mar-16,36,,,,
E29-02,C,26-Jan-16,05-Mar-16,39,,,,
E29-01,C,26-Jan-16,02-Mar-16,36,,,,
E28-07,C,26-Jan-16,29-Feb-16,34,,,,
E28-04,C,26-Jan-16,04-Mar-16,38,,,,
E28-03,C,26-Jan-16,29-Feb-16,34,,,,
E28-02,C,26-Jan-16,29-Feb-16,34,,,,
E28-01,C,26-Jan-16,29-Feb-16,34,,,,
E15-02,C,04-Jun-15,15-07-08,34,,,,
E15-01,C,04-Jun-15,15-07-08,34,,,,
E11-13,C,03-Jun-15,15-07-12,39,,,,
E11-07,C,03-Jun-15,15-07-09,36,,,,
E11-05F,C,03-Jun-15,15-07-13,40,,,,
