Litter,Treatment,PreTreatment,PostTreatment,Difference
E5,C,22.13,28.18,6.05
E6,C,25.12,78.09,52.97
A,C,10.00,52.12,42.116
B,C,14.42,16.14,1.724
C,C,12.22,17.09,4.872
D,C,20.84,24.15,3.316
E,C,33.66,24.82,-8.832
E19,C,28.44,16.71,-11.73225673
E21,C,12.72,45.15,32.42772724
E25,C,11.43,38.22,26.78824771
E27,C,22.46,44.46,22.00215977
E28,C,16.40,34.75,18.35302649
E1,T,21.45,37.57,16.12
E2,T,32.47,113.62,81.15
E3,T,35.29,54.56,19.27
E4,T,37.41,51.21,13.8
F,T,29.34,28.54,-0.804
G,T,41.72,31.28,-10.444
H,T,10.00,10.00,0
I,T,17.01,29.74,12.732
J,T,10.00,17.38,7.376
K,T,30.48,19.06,-11.416
E20,T,29.90,40.62,10.7248145
E22,T,22.02,54.84,32.81875186
E23,T,31.42,63.82,32.39859122
E24,T,23.67,26.72,3.04842107
E25,T,33.45,29.58,-3.867200967
