Subject,Treatment,FirstEstrus
E12-01,T,39
E12-01F,T,36
E12-07Fb,T,38
E12-10F,T,36
E12-10Fb,T,39
E12-12,T,36
E12-15,T,38
E13-12F,T,36
E13-CF,T,38
E13-DF,T,34
E14-12Fb,T,36
E16-02F,T,38
E16-08,T,36
E16-12F,T,38
E17-01F,T,38
E17-07,T,38
E17-08,T,35
E18-01,T,35
E18-03,T,35
E18-05F,T,38
E18-07,T,35
E18-10,T,35
E20-02,T,36
E20-03,T,37
E20-04,T,33
E20-05,T,34
E20-07,T,36
E20-09,T,34
E22-02,T,34
E22-04,T,35
E22-13,T,35
E22-14,T,35
E23-05,T,36
E23-06,T,34
E23-08,T,37
E23-09,T,35
E24-10,T,36
E24-11,T,39
E24-14,T,34
E25-02,T,34
E25-03,T,34
E25-04,T,34
E25-08,T,34
E36-01,T,35
E36-02,T,34
E36-03,T,36
E36-08,T,35
E37-08,T,37
E38-01,T,37
E38-02,T,38
E38-03,T,34
E38-04,T,37
E38-06,T,35
E38-07,T,38
E38-08,T,36
E39-01,T,36
E39-02,T,35
E39-02,T,36
E39-03,T,37
E40-01,T,38
E40-02,T,35
E40-03,T,35
E41-01,T,36
E41-02,T,37
E41-03,T,37
E41-08,T,38
E42-01,T,39
E42-02,T,36
E42-08,T,34
E43-06,T,36
E43-08,T,37
E50-01,T,39
E50-02,T,36
E51-01,T,37
E51-02,T,35
E51-03,T,38
E52-01,T,36
E52-02,T,36
E53-01,T,37
E53-02,T,38
E08-03,C,37
E08-04,C,36
E08-05Fa,C,38
E08-05Fb,C,40
E09-03,C,36
E10-03F,C,39
E10-07F,C,40
E10-08,C,37
E10-10F,C,40
E11-01F,C,40
E11-03F,C,39
E11-05F,C,40
E11-07,C,36
E11-13,C,39
E15-01,C,34
E15-02,C,34
E21-01,C,33
E21-02,C,33
E21-05,C,33
E21-08,C,36
E21-11,C,37
E26-01,C,35
E26-02,C,37
E26-04,C,34
E26-06,C,35
E27-03,C,34
E27-05,C,35
E27-08,C,36
E28-01,C,34
E28-02,C,34
E28-03,C,34
E28-04,C,38
E28-07,C,34
E29-01,C,36
E29-02,C,39
E29-03,C,36
E29-04,C,37
E29-08,C,39
E30-06,C,36
E31-01,C,36
E31-02,C,35
E31-03,C,35
E31-08,C,35
E32-03,C,36
E32-04,C,37
E32-05,C,36
E32-06,C,34
E32-08,C,34
E33-01,C,37
E33-02,C,36
E33-04,C,37
E33-06,C,37
E33-08,C,37
E34-01,C,37
E34-02,C,34
E34-03,C,36
E34-04,C,36
E34-08,C,35
E35-01,C,35
E35-02,C,34
E35-08,C,38
E44-01,C,38
E44-02,C,38
E45-01,C,39
E45-02,C,35
E46-01,C,36
E46-02,C,39
E46-04,C,38
E46-05,C,38
E46-06,C,39
E46-07,C,40
E46-08,C,38
E47-01,C,35
E47-02,C,35
E47-03,C,36
E48-01,C,40
E48-03,C,38
E48-05,C,39
E48-06,C,38
