Litter,Litter,Treatment ,PD0,Ears-Date,Eyes-Date,Fur-Date,Ears,Eyes,Fur
E02,E2,C,03-Feb-15,07-Feb-15,16-Feb-15,10-Feb-15,4,13,7
E04,E4,C,02-Feb-15,07-Feb-15,16-Feb-15,11-Feb-15,5,14,9
E07,E7,C,03-Feb-15,07-Feb-15,17-Feb-15,13-Feb-15,4,14,10
E21,E21,C,26-Aug-15,01-Sep-15,03-Sep-15,03-Sep-15,6,8,8
E26,E26,C,26-Aug-15,31-Aug-15,07-Sep-15,03-Sep-15,5,12,8
E27,E27,C,26-Aug-15,31-Aug-15,07-Sep-15,02-Sep-15,5,12,7
E28,E28,C,26-Aug-15,31-Aug-15,07-Sep-15,02-Sep-15,5,12,7
E44,E44,C,29-Mar-16,02-Apr-16,12-Apr-16,03-Apr-16,4,14,5
E45,E45,C,29-Mar-16,01-Apr-16,12-Apr-16,05-Apr-16,3,14,7
E46,E46,C,29-Mar-16,02-Apr-16,12-Apr-16,02-Apr-16,4,14,4
E47,E47,C,29-Mar-16,03-Apr-16,10-Apr-16,03-Apr-16,5,12,5
E48,E48,C,29-Mar-16,03-Apr-16,12-Apr-16,03-Apr-16,5,14,5
E01,E1,T,03-Feb-15,07-Feb-15,16-Feb-15,10-Feb-15,4,13,7
E03,E3,T,02-Feb-15,07-Feb-15,16-Feb-15,11-Feb-15,5,14,9
E05,E5,T,02-Feb-15,06-Feb-15,16-Feb-15,10-Feb-15,4,14,8
E06,E6,T,03-Feb-15,07-Feb-15,17-Feb-15,08-Feb-15,4,14,5
E20,E20,T,26-Aug-15,31-Aug-15,07-Sep-15,02-Sep-15,5,12,7
E22,E22,T,26-Aug-15,31-Aug-15,07-Sep-15,02-Sep-15,5,12,7
E23,E23,T,26-Aug-15,31-Aug-15,07-Sep-15,02-Sep-15,5,12,7
E24,E24,T,26-Aug-15,31-Aug-15,07-Sep-15,01-Sep-15,5,12,6
E25,E25,T,26-Aug-15,31-Aug-15,07-Sep-15,03-Sep-15,5,12,8
E50,E50,T,29-Mar-16,02-Apr-16,10-Apr-16,04-Apr-16,4,12,6
E51,E51,T,29-Mar-16,02-Apr-16,12-Apr-16,03-Apr-16,4,14,5
E52,E52,T,29-Mar-16,02-Apr-16,10-Apr-16,03-Apr-16,4,12,5
E53,E53,T,29-Mar-16,03-Apr-16,12-Apr-16,03-Apr-16,5,14,5
