Subject,Treatment,PD0,Vdate,VaginalOpening
E20-1,T,26-Aug-15,23-Sep-15,28
E20-2,T,26-Aug-15,24-Sep-15,29
E20-3,T,26-Aug-15,25-Sep-15,30
E20-4,T,26-Aug-15,26-Sep-15,31
E22-1,T,26-Aug-15,21-Sep-15,26
E22-2,T,26-Aug-15,22-Sep-15,27
E22-3,T,26-Aug-15,26-Sep-15,31
E23-1,T,26-Aug-15,22-Sep-15,27
E23-2,T,26-Aug-15,25-Sep-15,30
E23-3,T,26-Aug-15,26-Sep-15,31
E24-1,T,26-Aug-15,24-Sep-15,29
E24-2,T,26-Aug-15,25-Sep-15,30
E25-1,T,26-Aug-15,22-Sep-15,27
E25-2,T,26-Aug-15,22-Sep-15,27
E25-3,T,26-Aug-15,25-Sep-15,30
E25-4,T,26-Aug-15,25-Sep-15,30
E36-1,T,26-Jan-16,23-Feb-16,28
E36-2,T,26-Jan-16,24-Feb-16,29
E36-3,T,26-Jan-16,26-Feb-16,31
E36-4,T,26-Jan-16,26-Feb-16,31
E37-1,T,26-Jan-16,22-Feb-16,27
E38-1,T,26-Jan-16,26-Feb-16,31
E38-2,T,26-Jan-16,26-Feb-16,31
E38-3,T,26-Jan-16,26-Feb-16,31
E39-1,T,26-Jan-16,25-Feb-16,30
E39-2,T,26-Jan-16,26-Feb-16,31
E39-3,T,26-Jan-16,26-Feb-16,31
E40-1,T,26-Jan-16,24-Feb-16,29
E40-2,T,26-Jan-16,25-Feb-16,30
E40-3,T,26-Jan-16,25-Feb-16,30
E41-1,T,26-Jan-16,23-Feb-16,28
E41-2,T,26-Jan-16,24-Feb-16,29
E41-3,T,26-Jan-16,24-Feb-16,29
E41-4,T,26-Jan-16,26-Feb-16,31
E42-1,T,26-Jan-16,24-Feb-16,29
E42-2,T,26-Jan-16,25-Feb-16,30
E42-3,T,26-Jan-16,26-Feb-16,31
E43-1,T,26-Jan-16,26-Feb-16,31
E43-2,T,26-Jan-16,27-Feb-16,32
E21-1,C,26-Aug-15,21-Sep-15,26
E21-2,C,26-Aug-15,26-Sep-15,31
E21-3,C,26-Aug-15,26-Sep-15,31
E21-4,C,26-Aug-15,26-Sep-15,31
E26-2,C,26-Aug-15,25-Sep-15,30
E26-3,C,26-Aug-15,26-Sep-15,31
E27-1,C,26-Aug-15,26-Sep-15,31
E27-2,C,26-Aug-15,26-Sep-15,31
E28-1,C,26-Jan-16,25-Feb-16,30
E28-2,C,26-Jan-16,25-Feb-16,30
E28-3,C,26-Jan-16,26-Feb-16,31
E28-4,C,26-Jan-16,27-Feb-16,32
E28-5,C,26-Jan-16,27-Feb-16,32
E29-1,C,26-Jan-16,23-Feb-16,28
E29-2,C,26-Jan-16,23-Feb-16,28
E29-3,C,26-Jan-16,26-Feb-16,31
E29-4,C,26-Jan-16,27-Feb-16,32
E29-5,C,26-Jan-16,27-Feb-16,32
E30-1,C,26-Jan-16,22-Feb-16,27
E31-1,C,26-Jan-16,25-Feb-16,30
E31-2,C,26-Jan-16,25-Feb-16,30
E31-3,C,26-Jan-16,26-Feb-16,31
E31-4,C,26-Jan-16,27-Feb-16,32
E32-1,C,26-Jan-16,25-Feb-16,30
E32-2,C,26-Jan-16,25-Feb-16,30
E32-3,C,26-Jan-16,26-Feb-16,31
E32-4,C,26-Jan-16,27-Feb-16,32
E32-5,C,26-Jan-16,27-Feb-16,32
E33-1,C,26-Jan-16,23-Feb-16,28
E33-2,C,26-Jan-16,26-Feb-16,31
E33-3,C,26-Jan-16,26-Feb-16,31
E34-1,C,26-Jan-16,23-Feb-16,28
E34-2,C,26-Jan-16,23-Feb-16,28
E34-3,C,26-Jan-16,25-Feb-16,30
E34-4,C,26-Jan-16,26-Feb-16,31
E34-5,C,26-Jan-16,26-Feb-16,31
E35-1,C,26-Jan-16,24-Feb-16,29
E35-2,C,26-Jan-16,25-Feb-16,30
E35-3,C,26-Jan-16,26-Feb-16,31
E35-4,C,26-Jan-16,26-Feb-16,31
