Subject,Sex,Group,Age,Gonad,Estrus,DemFood,DemInitial,DemFinal,LeftFeed,RightFeed,Left0H,Right0H,Left2H,Right2H,Left4H,Right4H,Left6H,Right6H,Left8H,Right8H
E2-03,F,C,POST,SHAM,P,TUM,136.18,135.75,TUM,THY,51.14,49.17,50.34,49.14,49.42,49.11,48.54,49.13,47.71,49.11
E4-03,F,C,POST,SHAM,E,THY,151.33,151.01,THY,TUM,47.85,47.29,47.61,46.11,47.63,45.04,46.69,44.51,46.67,44.48
E5-05,F,T,POST,SHAM,P,TUM,154.87,154.85,THY,TUM,52.26,50.53,51.73,49.36,50.93,48.93,50.01,48.58,50.02,48.59
E6-03,F,T,POST,SHAM,E,TUM,138.2,137.98,TUM,THY,49.36,48.69,48.57,48.1,48.56,47.94,46.85,47.77,46.85,47.77
E9-05F,F,C,POST,SHAM,P,THY,145.76,145.38,TUM,THY,47.78,48.44,47.72,47.14,47.66,46.1,47.66,45.2,47.62,44.14
E11-01F,F,C,POST,SHAM,E,TUM,141.62,141.26,THY,TUM,50.78,48.3,49.89,48.03,49.36,48.01,49.09,47.64,49.09,47.26
E11-03F,F,C,POST,SHAM,D,TUM,145.53,145.13,THY,TUM,49.41,47.42,48.29,47.02,48.28,45.74,47.56,45.38,47.13,45.35
E11-13F,F,C,POST,SHAM,E,THY,141.4,140.59,THY,TUM,49.55,49.26,49.12,49.1,48.4,48.77,47.85,48.62,47.83,47.92
E12-01F,F,T,POST,SHAM,D,TUM,141.04,140.47,TUM,THY,47.03,47.74,45.66,47.63,44.47,47.6,43.85,47.59,43.32,47.58
E12-15F,F,T,POST,SHAM,D,THY,143.79,143.54,THY,TUM,47.95,49.5,47.15,48.79,46.06,48.63,45.28,48.38,44.9,48.34
E13-06F,F,T,POST,SHAM,D,TUM,137.22,136.68,THY,TUM,47.36,48.65,47.2,48.2,46.61,47.75,46.48,47.05,46.45,46.96
E15-01F,F,C,POST,SHAM,D,THY,150.09,149.36,TUM,THY,47.62,47.95,46.73,47.55,45.75,47.52,45.66,46.96,44.96,46.72
E17-05F,F,T,POST,SHAM,E,THY,155.88,155.68,THY,TUM,52.08,50.27,51.44,50.17,50.79,50.02,50.18,49.99,49.99,49.93
E18-05F,F,T,POST,SHAM,P,TUM,152.85,152.52,TUM,THY,52.1,51.34,51.6,51.19,50.72,51.15,50.4,51.14,50.21,51.1
E20-04F,F,T,POST,SHAM,D,TUM,185.68,184.67,THY,TUM,50.28,47.14,49.97,46.67,49.05,46.49,48,46.49,47.74,46.21
E21-02F,F,C,POST,SHAM,D,THY,152.76,152.2,TUM,THY,49.89,51.09,49.87,50.05,49.88,48.95,49.88,48.95,48.93,48
E22-13F,F,T,POST,SHAM,P,THY,153.3,152.43,TUM,THY,47.16,49.71,47.16,48.51,47.15,47.43,47.16,46.51,47.15,46.04
E24-10F,F,T,POST,SHAM,P,TUM,152.62,152.03,TUM,THY,48.84,48.81,47.83,48.74,46.56,48.75,46.19,48.74,45.63,48.75
E25-02F,F,T,POST,SHAM,D,TUM,149.18,148.55,TUM,THY,48.96,49.34,48.28,49.34,47.3,49.34,46.55,49.32,46.16,49.3
E26-02F,F,T,POST,SHAM,D,THY,154.54,153.9,THY,TUM,50.41,50.11,49.6,49.42,48.93,48.9,47.92,48.88,47.92,48.87
E26-04F,F,C,POST,SHAM,E,TUM,151.6,151.15,TUM,THY,48.5,50.14,47.93,49.89,48.93,47.7,47.89,47.68,47.45,47.67
E28-01F,F,C,POST,SHAM,E,TUM,143.11,142.53,TUM,THY,47.91,48.98,47.4,48.52,45.99,48.47,45.39,48.46,45.32,48.4
E29-01F,F,C,POST,SHAM,P,TUM,148.79,147.27,THY,TUM,48.28,49.32,48.25,48.12,48.17,46.91,48.15,45.76,48.14,45.06
E31-03F,F,C,POST,SHAM,P,THY,150.91,150.15,THY,TUM,49.87,49.59,48.16,49.23,46.61,49.14,45.98,48.15,45.97,48.1
E32-06F,F,C,POST,SHAM,D,THY,147.98,146.83,TUM,THY,49.33,47.86,49.13,46.79,49.01,45.4,48.99,44.53,48.97,43.66
E33-01F,F,C,POST,SHAM,P,TUM,146.84,146.19,THY,TUM,48.63,48.82,47.81,47.94,47.34,47.14,46.47,46.53,46.45,46.52
E33-02F,F,C,POST,SHAM,P,THY,149.82,148.91,THY,TUM,50,47.4,49.37,47.4,48.37,47.01,48.31,46.98,47.52,46.39
E34-02F,F,C,POST,SHAM,D,THY,157.7,157.17,THY,TUM,48.32,50.08,47.29,49.9,46.19,49.64,46.12,48.67,45.99,48.43
E36-02F,F,T,POST,SHAM,D,THY,159.85,158.64,TUM,THY,47.98,47.86,47.5,47.36,46.95,46.91,46.92,45.79,46.4,45.78
E38-03F,F,T,POST,SHAM,P,THY,152.64,152.01,THY,TUM,48.75,49.32,47.76,48.85,47.36,48,47.34,47.26,47.3,46.38
E40-02F,F,T,POST,SHAM,E,THY,149.41,148.31,TUM,THY,48.6,47.89,47.35,47.7,46.21,47.7,44.95,47.69,43.66,47.63
E40-03F,F,T,POST,SHAM,D,THY,156.96,156.4,THY,TUM,48.07,48.24,48.01,48.19,48,48.17,48,48.16,47.97,48.13
E42-01F,F,T,POST,SHAM,P,TUM,145.81,145.1,TUM,THY,47.54,50.08,46.43,49.45,46.38,48.36,45.76,47.82,45.24,47.46
