Subject,Treatment,Sex,Gonad,Estrus,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv,TotalActivityOccur,TotalActivityDuration,TotalSocialOccur,TotalSocialDuration,AgonisticDeliveredOccur,AgonisticDeliveredDuration,AgonisticReceivedOccur,AgonisticReceivedDuration,AgonisticTotalOccur,AgonisticTotalDuration,DominanceScoreOccur,DominanceScoreDuration,SocialInvestigationOccur,SocialInvestigationDuration,NonSocialOccur,NonSocialDuration,NonSocialLocomotorOccur,NonSocialLocomotorDuration,InactiveNonSocialOccur,InactiveNonSocialDuration,TransAgonisticTotalDuration,TransAgonisticTotalOccur,TransAgonisticDeliveredDuration,TransAgonisticDeliveredOccur,TransAgonisticReceivedDuration,TransAgonisticReceivedOccur,TransNonSocialDuration,TransNonSocialOccur,TransInactiveNonSocialDuration,TransInactiveNonSocialOccur,TransFollowDur,TransFollowEv,TransDomEv,TransAttackDel,TransAttackRec,TransAvoidDur,TransAvoidEv,TransSubDur,TransSubEv,TransRitAggDur,TransRitAggEv,TransDefenseDur,TransDefenseEv,TransInactiveTogetherDur,TransInactiveTogetherEv,TransSniffHeadEv,TransStretchEv,TransDigDur,TransDigEv,TransInactiveDur,TransInactiveEv
 E11-03F,C,F,SHAM,D,64911,116919,0,134020,18794,187489,0,135077,0,0,0,93746,0,0,15416,239636,792801,1191,0,24,35,0,87,4,35,0,0,11,0,0,0,0,43,0,0,6,75,19,1,282,800916,171,1365951,7,16607,11,135077,18,151684,-4,-118470,134,421466,169,434049,130,227766,39,206283,11.92956128,2.944438979,9.717639786,2.079441542,11.81360767,2.48490665,12.98091501,5.135798437,12.23700914,3.688879454,7.083387848,0.693147181,1.945910149,0,0,0,0,11.81360767,2.48490665,0,0,0,0,13.58332878,2.995732274,3.583518938,0,0,0,9.841346156,1.609437912
 E12-01F,T,F,SHAM,D,58150,329062,0,290886,19039,230950,2870,160285,0,0,1849,221871,0,0,79238,383853,21947,0,0,31,81,0,199,5,56,1,0,33,1,0,0,1,85,0,0,9,138,7,0,579,1528064,302,1037254,9,79238,35,163155,44,242393,-26,-83917,250,771065,345,762746,284,512757,61,249989,12.39831978,3.80666249,11.28022388,2.302585093,12.00246208,3.583518938,13.54468167,5.846438775,12.4291762,4.127134385,0,0,2.302585093,0,0.693147181,7.96241568,0.693147181,11.984715,3.526360525,7.522940918,0.693147181,0,0,9.996431298,2.079441542,4.406719247,0,0,0,9.854297308,1.791759469
 E12-15F,T,F,SHAM,D,133032,64822,6727,278911,58666,460739,513,59371,0,0,0,136833,0,2293,130627,286604,178627,2235,0,68,28,1,199,8,84,1,1,22,0,0,0,0,62,0,1,14,120,24,2,519,1101968,280,855831,17,132862,23,59884,40,192746,-6,72978,216,484458,355,944169,262,422471,92,519405,12.16913373,3.713572067,11.7970738,2.890371758,11.00018134,3.17805383,13.75806151,5.874930731,13.16044113,4.532599493,7.712443834,1.098612289,2.708050201,0.693147181,0,6.242223265,0.693147181,10.99157801,3.135494216,0,0,0,0,12.09306071,3.218875825,3.36729583,0,8.814033202,0.693147181,10.97963267,2.197224577
 E13-06F,T,F,SHAM,D,9513,572452,0,236392,4063,87868,2943,241554,0,0,0,247529,0,0,24106,321977,51603,0,1,10,134,0,174,2,27,2,0,36,1,0,0,0,79,0,0,9,114,9,0,560,1656466,316,1224148,9,24106,39,244497,48,268603,-30,-220391,259,903942,282,575852,253,483921,29,91931,12.50099345,3.891820298,10.09025753,2.302585093,12.40696241,3.688879454,13.2636077,5.645446898,11.42880445,3.401197382,0,0,2.302585093,0,0.693147181,7.98752448,1.098612289,12.39485247,3.610917913,0,0,0,0,10.85135447,2.302585093,4.905274778,0.693147181,0,0,8.309922989,1.098612289
 E15-01M,C,F,SHAM,D,26150,66989,4740,332346,37738,716160,0,39470,0,0,0,498095,0,0,0,70092,807,7413,0,14,33,1,213,15,120,0,0,18,0,0,0,0,116,0,0,0,49,1,6,450,1045295,121,210921,6,7413,18,39470,24,46883,-12,-32057,96,163231,465,1589079,330,835181,135,753898,10.75543174,3.218875825,8.911125384,1.945910149,10.5833215,2.944438979,14.27866579,6.144185634,13.53301369,4.912654886,8.911125384,1.945910149,0,0,0,0,0,10.5833215,2.944438979,0,0,0,0,6.694562059,0.693147181,3.526360525,0,8.464003363,0.693147181,10.53844932,2.772588722
 E17-05F,T,F,SHAM,E,168405,431883,0,211732,0,89825,0,30376,0,0,0,314339,0,1071,32605,462520,57244,0,0,74,123,0,206,0,21,0,0,5,0,0,0,0,79,0,1,12,203,10,0,703,1652931,427,1183033,12,32605,5,30376,17,62981,7,2229,400,1062808,307,616967,285,526071,21,89825,11.05060425,2.890371758,10.3922516,2.564949357,10.32144102,1.791759469,13.33257244,5.730099783,11.40562974,3.091042453,0,0,2.564949357,0,0,0,0,10.32144102,1.791759469,0,0,0,0,10.95509558,2.397895273,4.820281566,0,0,0,0,0
 E18-05F,T,F,SHAM,P,124487,273804,0,250394,962,223599,0,31404,0,0,0,394899,0,0,31429,462934,1218,4870,0,65,98,0,227,1,76,0,0,11,0,0,0,0,142,0,0,9,203,1,6,761,1574221,393,930146,15,36299,11,31404,26,67703,4,4895,366,861225,446,869854,369,645293,77,224561,11.12290054,3.295836866,10.49957302,2.772588722,10.35472239,2.48490665,13.67608181,6.102558595,12.32190712,4.356708827,8.491054534,1.945910149,2.302585093,0,0,0,0,10.35472239,2.48490665,0,0,0,0,7.105786129,0.693147181,4.59511985,0,0,0,6.870053412,0.693147181
 E20-04F,T,F,SHAM,D,247440,178374,0,149601,54161,185883,0,133322,0,0,0,116180,0,15,67227,430654,213242,3711,0,103,59,0,142,10,54,0,0,15,0,0,0,0,45,0,1,9,149,21,5,528,1326524,361,1273970,14,70938,15,133322,29,204260,-1,-62384,311,856468,252,505840,187,265781,64,240044,12.22715387,3.401197382,11.16957563,2.708050201,11.80053003,2.772588722,13.13397767,5.533389489,12.38858168,4.17438727,8.219326094,1.791759469,2.302585093,0,0,0,0,11.80053003,2.772588722,0,0,0,0,12.27018764,3.091042453,4.094344562,0,0,0,10.89973483,2.397895273
 E2-03,C,F,SHAM,P,83642,221218,0,199347,854,186028,0,210593,0,0,1371,106925,0,0,145340,618026,25947,709,0,58,72,0,161,1,42,0,0,30,0,0,0,2,72,0,0,20,184,2,1,600,1587171,369,1306846,21,146049,30,210593,51,356642,-9,-64544,314,922886,276,493154,233,306272,43,186882,12.78449056,3.951243719,11.89170431,3.091042453,12.25768739,3.433987204,13.10857881,5.624017506,12.13823803,3.784189634,6.56526497,0.693147181,3.044522438,0,0,0,0,12.25768739,3.433987204,7.224024808,1.098612289,0,0,10.16384981,1.098612289,4.290459441,0,0,0,6.751101469,0.693147181
 E21-02F,C,F,SHAM,D,145331,243622,0,171391,0,164421,2771,22129,0,0,1355,293334,0,0,283951,321138,138346,12211,0,66,80,0,165,0,31,2,0,6,0,0,0,1,72,0,0,62,147,19,11,612,1497233,394,1170854,73,296162,8,24900,81,321062,65,271262,293,710091,268,629146,237,464725,31,164421,12.67939264,4.406719247,12.59866526,4.304065093,10.12266324,2.197224577,13.35212021,5.59471138,12.01019157,3.465735903,9.410174354,2.48490665,4.143134726,0,0,7.92732436,1.098612289,10.00468943,1.945910149,7.212294469,0.693147181,0,0,11.8375203,2.995732274,4.394449155,0,0,0,0,0
