"","Subject","Treatment","Sex","Gonad","Scorer","SniffAnoDur","SniffHeadDur","DigDur","ActiveHDur","InactiveDur","GroomDur","AvoidDur","SubDur","DefenseDur","OpenAggDur","RitAggDur","ActiveVDur","ApproachDur","StereoDur","DomDur","SniffBodyDur","InactiveTogetherDur","FollowDur","StretchEv","SniffAnoEv","SniffHeadEv","DigEv","ActiveHEv","InactiveEv","GroomEv","AvoidEv","AttackDelEv","SubEv","AttackRecEv","DefenseEv","OpenAggEv","RitAggEv","ActiveVEv","ApproachEv","StereoEv","DomEv","SniffBodyEv","InactiveTogetherEv","FollowEv","TotalActivityOccur","TotalActivityDuration","TotalSocialOccur","TotalSocialDuration","AgonisticDeliveredOccur","AgonisticDeliveredDuration","AgonisticReceivedOccur","AgonisticReceivedDuration","AgonisticTotalOccur","AgonisticTotalDuration","DominanceScoreOccur","DominanceScoreDuration","SocialInvestigationOccur","SocialInvestigationDuration","NonSocialOccur","NonSocialDuration","NonSocialLocomotorOccur","NonSocialLocomotorDuration","InactiveNonSocialOccur","InactiveNonSocialDuration","TransAgonisticTotalDuration","TransAgonisticTotalOccur","TransAgonisticDeliveredDuration","TransAgonisticDeliveredOccur","TransAgonisticReceivedDuration","TransAgonisticReceivedOccur","TransNonSocialDuration","TransNonSocialOccur","TransInactiveNonSocialDuration","TransInactiveNonSocialOccur","TransFollowDur","TransFollowEv","TransDomEv","TransAttackDel","TransAttackRec","TransAvoidDur","TransAvoidEv","TransSubDur","TransSubEv","TransRitAggDur","TransRitAggEv","TransDefenseDur","TransDefenseEv","TransInactiveTogetherDur","TransInactiveTogetherEv","TransSniffHeadEv","TransStretchEv","TransDigDur","TransDigEv","TransInactiveDur","TransInactiveEv"
"217"," E10-02F","C","F","REP"," Colin",12501,160072,9396,175845,38358,197384,0,81350,1635,0,15676,202450,0,0,525474,288984,90875,0,0,4,62,2,128,4,31,0,1,14,1,1,0,1,74,0,0,43,78,5,0,409,1473383,210,1176567,44,525474,16,82985,60,608459,28,442489,144,461557,239,623433,204,387691,35,235742,13.3186864538341,4.11087386417331,13.1720578944282,3.80666248977032,11.3264271978528,2.83321334405622,13.3429981844496,5.48063892334199,12.370497507584,3.58351893845611,0,0,3.78418963391826,0.693147180559945,0.693147180559945,0,0,11.3065284051346,2.70805020110221,9.65994994906853,0.693147180559945,7.40000951716269,0.693147180559945,11.4172512189018,1.79175946922805,4.14313472639153,0,9.14814576838307,1.09861228866811,10.5547444598359,1.6094379124341
"218"," E1-01","T","M","GDX"," Colin",210003,71715,646,197957,8261,424848,0,297421,964,0,0,111083,1320,0,0,225921,240636,9225,0,79,32,2,150,4,74,0,0,25,0,3,0,0,36,1,0,0,98,14,10,436,1126255,262,1057205,10,9225,28,298385,38,307610,-18,-289160,210,508959,266,742795,188,309686,78,433109,12.6365912767024,3.66356164612965,9.12978086411777,2.39789527279837,12.606143229321,3.36729582998647,13.5181767234166,5.58724865840025,12.978747016292,4.36944785246702,9.12978086411777,2.39789527279837,0,0,0,0,0,12.6029072847174,3.25809653802148,0,0,6.87212810133899,1.38629436111989,12.3910448529106,2.70805020110221,3.49650756146648,0,6.4723462945009,1.09861228866811,9.01942196795671,1.6094379124341
"219"," E10-10F","C","F","REP"," Colin",273155,461056,0,70706,3886,121791,0,41499,0,0,0,52534,0,0,67751,664072,43550,0,0,114,81,0,64,3,13,0,0,17,1,0,0,0,21,0,0,13,192,10,0,503,1630773,428,1551083,13,67751,18,41499,31,109250,-5,26252,387,1398283,101,248917,85,123240,16,125677,11.601403266234,3.46573590279973,11.1236092586014,2.63905732961526,10.6334487062188,2.94443897916644,12.4248788039409,4.62497281328427,11.7414783593719,2.83321334405622,0,0,2.63905732961526,0,0.693147180559945,0,0,10.6334487062188,2.89037175789616,0,0,0,0,10.6816879441295,2.39789527279837,4.40671924726425,0,0,0,8.26539293085222,1.38629436111989
"220"," E10-13M","C","M","REP"," Colin",18006,231296,0,113194,0,198010,0,112434,1392,0,0,103748,0,0,132206,193859,695855,0,0,6,45,0,75,0,27,0,0,18,0,1,0,0,43,0,0,16,68,26,0,272,906135,180,1385048,16,132206,19,113826,35,246032,-3,18380,119,443161,145,414952,118,216942,27,198010,12.4132209522591,3.58351893845611,11.7921241550736,2.83321334405622,11.642435030881,2.99573227355399,12.9359205397872,4.98360662170834,12.1960778636891,3.3322045101752,0,0,2.83321334405622,0,0,0,0,11.6301305558709,2.94443897916644,0,0,7.23921497377981,0.693147180559945,13.4528980213588,3.29583686600433,3.8286413964891,0,0,0,0,0
"221"," E1-02","T","M","SHAM"," Colin",31597,270420,0,235961,0,208495,0,31826,1670,0,151052,305466,0,0,93739,411481,57032,1261,0,21,95,0,225,0,49,0,55,9,3,2,0,29,129,0,0,35,179,4,1,783,1534473,433,1050078,91,95000,14,33496,105,128496,77,61504,295,713498,403,749922,354,541427,49,208495,11.7636608367414,4.66343909411207,11.4616426968431,4.52178857704904,10.4192111615643,2.70805020110221,13.5277258135752,6.00141487796115,12.2476751353847,3.91202300542815,7.14045304310116,0.693147180559945,3.58351893845611,4.02535169073515,1.38629436111989,0,0,10.3680702651274,2.30258509299405,11.9253860475908,3.40119738166216,7.42117752859539,1.09861228866811,10.9513853266597,1.6094379124341,4.56434819146784,0,0,0,0,0
"222"," E1-04","T","M","REP"," Colin",71690,195403,0,263648,6111,312106,0,129319,0,0,0,344680,0,0,120093,325671,27427,3852,0,43,66,0,215,3,64,0,0,22,0,0,0,0,109,0,0,28,135,7,3,621,1454356,304,873455,31,123945,22,129319,53,253264,9,-5374,244,592764,391,926545,324,608328,67,318217,12.4421916503668,3.98898404656427,11.7276012658656,3.46573590279973,11.7700452318394,3.13549421592915,13.7392189726926,5.97126183979046,12.670491961482,4.21950770517611,8.25660734462616,1.38629436111989,3.36729582998647,0,0,0,0,11.7700452318394,3.13549421592915,0,0,0,0,10.2193196684043,2.07944154167984,4.20469261939097,0,0,0,8.71800933084636,1.38629436111989
"223"," E11-01F","C","F","REP"," Colin",40285,100924,0,270063,699,596705,0,0,0,0,0,208519,0,2040,325200,152365,103200,0,0,16,27,0,149,1,81,0,0,0,0,0,0,0,69,0,1,26,59,12,0,347,1099396,140,721974,26,325200,0,0,26,325200,26,325200,102,293574,301,1078026,218,478582,82,597404,12.6921987316818,3.29583686600433,12.6921987316818,3.29583686600433,0,0,13.8906430765196,5.71042701737487,13.3003505543307,4.4188406077966,0,0,3.29583686600433,0,0,0,0,0,0,0,0,0,0,11.5444338219051,2.56494935746154,3.3322045101752,0,0,0,6.5510803350434,0.693147180559945
"224"," E11-03F","C","F","SHAM"," Colin",64911,116919,0,134020,18794,187489,0,135077,0,0,0,93746,0,0,15416,239636,792801,1191,0,24,35,0,87,4,35,0,0,11,0,0,0,0,43,0,0,6,75,19,1,282,800916,171,1365951,7,16607,11,135077,18,151684,-4,-118470,134,421466,169,434049,130,227766,39,206283,11.9295612810806,2.94443897916644,9.71763978596561,2.07944154167984,11.813607668349,2.484906649788,12.98091501382,5.13579843705026,12.2370091390958,3.68887945411394,7.0833878476253,0.693147180559945,1.94591014905531,0,0,0,0,11.813607668349,2.484906649788,0,0,0,0,13.5833287846991,2.99573227355399,3.58351893845611,0,0,0,9.84134615599828,1.6094379124341
"225"," E11-03M","C","M","GDX"," Colin",79124,86231,0,246688,59317,362857,0,306687,0,0,0,179420,0,1548,3809,141912,332407,0,1,31,37,0,148,15,60,0,0,36,1,0,0,0,73,0,1,4,75,20,0,407,1045419,205,950170,4,3809,37,306687,41,310496,-33,-302878,144,307267,297,849830,221,426108,75,422174,12.6459295184732,3.73766961828337,8.24538446812075,1.6094379124341,12.633586223155,3.63758615972639,13.6527927851691,5.6970934865054,12.9531751990003,4.33073334028633,0,0,1.6094379124341,0,0.693147180559945,0,0,12.633586223155,3.61091791264422,0,0,0,0,12.7141184090625,3.04452243772342,3.63758615972639,0.693147180559945,0,0,10.9906680802418,2.77258872223978
"226"," E11-07F","C","F","REP"," Colin",85966,213835,0,112720,7394,405516,0,165041,708,0,0,153098,0,0,142672,367291,139827,5932,0,44,54,0,96,2,49,0,2,15,0,1,0,0,50,0,0,27,119,16,4,412,1247263,282,1121272,33,148604,16,165749,49,314353,17,-17145,217,667092,197,678728,146,265818,51,412910,12.6582750184002,3.91202300542815,11.9090470580752,3.52636052461616,12.0182359080481,2.83321334405622,13.4279772105251,5.28826703069454,12.9309873523525,3.95124371858143,8.68828526625864,1.6094379124341,3.3322045101752,1.09861228866811,0,0,0,12.0139552659461,2.77258872223978,0,0,6.56385552653213,0.693147180559945,11.8481683748503,2.83321334405622,4.00733318523247,0,0,0,8.9085593751449,1.09861228866811
