Subject,Sex,Treatment,Gonad,IRHAB,IRTEST,,,,,
E12-07,F,T,GDX,0.435142638,0.803919201,,,,,
E12-10Fb,F,T,GDX,0.59105787,0.612645737,,,,,
E13-04,F,T,GDX,0.474142449,0.41543947,,,,,
E17-03,F,T,GDX,0.407773646,0.663412806,,,,,
E18-01,F,T,GDX,0.636573816,0.56452967,,,,,
E20-06,F,T,GDX,0.522707852,0.462476477,,,,,
E22-04,F,T,GDX,0.374906016,0.600796148,,,,,
38-07F,F,T,GDX,0.621884942,0.774939111,,,,,
E38-07,F,T,GDX,0.428291632,0.665311917,,,,,
39-08F,F,T,GDX,0.408696075,0.49291729,,,,,
41-08F,F,T,GDX,0.506335964,0.753652128,,,,,
43-08F,F,T,GDX,0.764063781,0.699447514,,,,,
E14-12,M,T,GDX,0.376344067,0.739006743,,,,,
E24-03,M,T,GDX,0.626368526,0.712293104,,,,,
37-02M,M,T,GDX,0.536367323,0.779162702,,,,,
37-05M,M,T,GDX,0.543969562,0.489097293,,,,,
37-08M,M,T,GDX,0.441773686,0.601895914,,,,,
40-08M,M,T,GDX,0.436414078,0.367468282,,,,,
E41-07,M,T,GDX,0.336948054,0.737378932,,,,,
43-07M,M,T,GDX,0.445460863,0.585597895,,,,,
E14-11,M,T,REP,0.554212066,0.609700696,,,,,
E14-13,M,T,REP,0.46752069,0.614858589,,,,,
E17-09,M,T,REP,0.447908933,0.580230547,,,,,
E22-09,M,T,REP,0.498242754,0.681191071,,,,,
37-01M,M,T,REP,0.390456086,0.473614859,,,,,
37-03M,M,T,REP,0.442508559,0.523991329,,,,,
39-08M,M,T,REP,0.549165025,0.539806604,,,,,
40-05M,M,T,REP,0.578254052,0.563247508,,,,,
42-07M,M,T,REP,0.548976234,0.547211243,,,,,
