Subject,Group,Phase,IR
E12-07,F-GDX,Habituation,0.435142638
E12-07,F-GDX,Test,0.803919201
E12-10Fb,F-GDX,Habituation,0.59105787
E12-10Fb,F-GDX,Test,0.612645737
E13-04,F-GDX,Habituation,0.474142449
E13-04,F-GDX,Test,0.41543947
E17-03,F-GDX,Habituation,0.407773646
E17-03,F-GDX,Test,0.663412806
E18-01,F-GDX,Habituation,0.636573816
E18-01,F-GDX,Test,0.56452967
E20-06,F-GDX,Habituation,0.522707852
E20-06,F-GDX,Test,0.462476477
E22-04,F-GDX,Habituation,0.374906016
E22-04,F-GDX,Test,0.600796148
38-07F,F-GDX,Habituation,0.621884942
38-07F,F-GDX,Test,0.774939111
E38-07,F-GDX,Habituation,0.428291632
E38-07,F-GDX,Test,0.665311917
39-08F,F-GDX,Habituation,0.408696075
39-08F,F-GDX,Test,0.49291729
41-08F,F-GDX,Habituation,0.506335964
41-08F,F-GDX,Test,0.753652128
43-08F,F-GDX,Habituation,0.764063781
43-08F,F-GDX,Test,0.699447514
E14-12,M-GDX,Habituation,0.376344067
E14-12,M-GDX,Test,0.739006743
E24-03,M-GDX,Habituation,0.626368526
E24-03,M-GDX,Test,0.712293104
37-02M,M-GDX,Habituation,0.536367323
37-02M,M-GDX,Test,0.779162702
37-05M,M-GDX,Habituation,0.543969562
37-05M,M-GDX,Test,0.489097293
37-08M,M-GDX,Habituation,0.441773686
37-08M,M-GDX,Test,0.601895914
40-08M,M-GDX,Habituation,0.436414078
40-08M,M-GDX,Test,0.367468282
E41-07,M-GDX,Habituation,0.336948054
E41-07,M-GDX,Test,0.737378932
43-07M,M-GDX,Habituation,0.445460863
43-07M,M-GDX,Test,0.585597895
E14-11,M-REP,Habituation,0.554212066
E14-11,M-REP,Test,0.609700696
E14-13,M-REP,Habituation,0.46752069
E14-13,M-REP,Test,0.614858589
E17-09,M-REP,Habituation,0.447908933
E17-09,M-REP,Test,0.580230547
E22-09,M-REP,Habituation,0.498242754
E22-09,M-REP,Test,0.681191071
37-01M,M-REP,Habituation,0.390456086
37-01M,M-REP,Test,0.473614859
37-03M,M-REP,Habituation,0.442508559
37-03M,M-REP,Test,0.523991329
39-08M,M-REP,Habituation,0.549165025
39-08M,M-REP,Test,0.539806604
40-05M,M-REP,Habituation,0.578254052
40-05M,M-REP,Test,0.563247508
42-07M,M-REP,Habituation,0.548976234
42-07M,M-REP,Test,0.547211243
