Subject,Sex,Group,Gonad,DemFood,flavAPref2H,flavAPref4H,flavAPref6H,flavAPref8H
1,M,M,SHAM,TUM,0.457364341,0.385245902,0.055555556,0
2,M,M,SHAM,THY,0.982758621,0.992857143,1,0.971428571
3,M,M,SHAM,TUM,0.556962025,0.717948718,0.113636364,0.518518519
4,M,M,SHAM,THY,0.811023622,0.90647482,0.505154639,NA
5,M,M,SHAM,TUM,0.5,0.484076433,0.04,0
6,M,M,SHAM,THY,0.970414201,1,0.947368421,1
7,M,M,SHAM,TUM,0.02739726,0.01459854,0.023255814,0
8,M,M,SHAM,THY,0.941520468,0.894736842,0.684210526,0.033333333
9,M,M,SHAM,TUM,0.648854962,0.238095238,1,0.045454545
10,M,M,SHAM,THY,0.96350365,0.987179487,1,0.5
11,M,M,SHAM,TUM,0.732954545,0.403846154,0.517857143,1
12,M,M,SHAM,THY,0.98,0.353448276,0.288888889,1
13,M,M,SHAM,TUM,0.610619469,0.636363636,0.675,0.510638298
14,M,M,SHAM,THY,0.764705882,0.56,0.711538462,0.464
15,M,M,SHAM,TUM,0.316091954,0.121212121,0.039473684,0.22
16,M,M,SHAM,THY,0.581632653,0.576923077,0.923076923,0.963636364
17,M,M,SHAM,TUM,0.646341463,0.538461538,0.764044944,0.4375
18,M,M,SHAM,THY,0.755813953,0.256637168,0.641791045,0.055555556
19,M,M,SHAM,TUM,0.109375,0,0.5,0.5
20,M,M,SHAM,THY,0.917431193,0.875,0.900900901,0.666666667
21,M,M,SHAM,TUM,0.672131148,0.090909091,0.96039604,0.828571429
22,M,M,SHAM,THY,0.983516484,0.843373494,0.602040816,0.72
23,M,M,SHAM,TUM,0.286764706,0.5,0.033333333,0.422535211
24,M,M,SHAM,THY,0.554140127,0.22,0.130434783,0.422535211
1,F,F,SHAM,TUM,0.075342466,0,0.078431373,0
2,F,F,SHAM,THY,0.944444444,0.981481481,0.960784314,NA
3,F,F,SHAM,TUM,0.41509434,0.330769231,0.609375,0.052631579
4,F,F,SHAM,THY,0.876712329,0.321100917,0.372881356,0.1
5,F,F,SHAM,TUM,0.504132231,0.220779221,0.23364486,0.018518519
6,F,F,SHAM,THY,0.82278481,0.954545455,0.858823529,0.928571429
7,F,F,SHAM,TUM,0.460122699,0.448275862,0.428571429,0.52238806
8,F,F,SHAM,THY,0.901840491,0.993670886,0.928571429,1
9,F,F,SHAM,TUM,0.902777778,0.850746269,0.789473684,1
10,F,F,SHAM,THY,0.976470588,0.911111111,0.988235294,1
11,F,F,SHAM,TUM,0.293478261,0.407692308,0.019417476,0
12,F,F,SHAM,THY,0.703703704,0.854166667,0.931034483,0.636363636
13,F,F,SHAM,TUM,0.765517241,0.935483871,0,0.188679245
14,F,F,SHAM,THY,0.807228916,0.711864407,0.958333333,0.948717949
15,F,F,SHAM,TUM,0.679012346,0.539325843,0.323809524,0.38
16,F,F,SHAM,THY,0.910447761,0.472222222,0.939393939,0
17,F,F,SHAM,TUM,0.287234043,0.058252427,0.069767442,0.066666667
18,F,F,SHAM,THY,0.886363636,0.931623932,1,0.87804878
19,F,F,SHAM,TUM,0.110169492,0.086419753,0.060606061,0.055555556
20,F,F,SHAM,THY,0.95959596,0.946666667,0.181818182,0.454545455
21,F,F,SHAM,TUM,0.666666667,0.349206349,0.68852459,0.6
22,F,F,SHAM,THY,0.785185185,0.966101695,0.923076923,0.914893617
23,F,F,SHAM,TUM,0.402777778,0.505617978,0.5,0.653846154
24,F,F,SHAM,THY,0.976377953,0.730496454,1,0.6
