Subject,Flavour,Consumption
1,TUM,0.84
2,TUM,0.38
3,TUM,1.02
4,TUM,0.34
5,TUM,0.14
6,TUM,0.75
7,TUM,0.59
8,TUM,0.69
9,TUM,1.35
10,TUM,0.32
11,TUM,1.82
12,TUM,0.18
13,TUM,1.04
14,TUM,1
15,TUM,0.22
16,TUM,0.5
17,TUM,1.14
18,TUM,0.26
19,TUM,0.79
20,TUM,0.4
21,TUM,0.79
22,TUM,0.07
23,TUM,0.59
24,TUM,0.06
1,THY,0.07
2,THY,1.21
3,THY,0.32
4,THY,1.39
5,THY,2.3
6,THY,0.2
7,THY,0.61
8,THY,0.43
9,THY,0.32
10,THY,1.22
11,THY,0.21
12,THY,1.66
13,THY,0.03
14,THY,0.44
15,THY,0.58
16,THY,0.3
17,THY,0.05
18,THY,1.05
19,THY,0.41
20,THY,0.92
21,THY,0.81
22,THY,0.92
23,THY,0.7
24,THY,1.2
