Subject,Sex,Group,Age,Gonad,DemFood,DemInitial,DemFinal,LeftFeed,RightFeed,Left0H,Right0H,Left2H,Right2H,Left4H,Right4H,Left6H,Right6H,Left8H,Right8H
E1-01,M,T,POST,GDX,TUM,132.85,132.06,TUM,THY,48.84,50.26,48.29,49.33,47.92,49.24,47.19,49.02,47.07,48.99
E1-02,M,T,POST,SHAM,THY,132.9,131.87,TUM,THY,49.66,50.31,49.53,49,49.53,47.74,49.53,46.51,49.51,46.37
E1-04,M,T,POST,REP,TUM,133.19,132.45,THY,TUM,49.21,50.76,48.55,50.37,47.37,49.82,47.36,49.55,47.22,48.84
E2-01,M,C,POST,REP,THY,133.29,132.92,THY,TUM,49.57,50.98,48.83,50.97,48.25,50.47,48.05,50.16,47.56,49.84
E2-03,F,C,POST,SHAM,TUM,136.18,135.75,TUM,THY,51.14,49.17,50.34,49.14,49.42,49.11,48.54,49.13,47.71,49.11
E2-04,M,C,POST,GDX,THY,130.68,129.77,TUM,THY,50.64,51.16,50.57,49.89,50.54,48.54,50.54,47.21,50.53,46.91
E2-05,F,C,POST,REP,TUM,132.15,131.86,THY,TUM,50.36,49.24,50.28,48.4,49.48,47.31,49.47,47.31,49.08,47.3
E2-06,M,C,POST,GDX,THY,129.28,129.16,THY,TUM,50.35,48.91,48.54,49.77,48.28,48.88,47.56,48.86,47.21,48.85
E2-08,M,C,POST,SHAM,TUM,136.85,136.4,TUM,THY,51.65,50.1,50.58,49.92,50.44,49.4,50.43,48.85,49.67,48.53
E3-01,M,T,POST,GDX,TUM,148.79,148.47,TUM,THY,48,48.94,47.04,48.33,46.9,47.68,46.88,47.35,46.82,47.1
E3-02,M,T,POST,REP,THY,148.26,147.89,TUM,THY,49.79,48.02,49.33,47.9,48.91,47.76,48.54,47.36,48.08,47.31
E3-05,M,T,POST,GDX,THY,149.5,148.62,THY,TUM,49.52,48.97,49.26,48.25,48.87,47.92,48.83,47.31,48.83,47.29
E3-07,M,T,POST,SHAM,TUM,157.5,157.31,TUM,THY,49.44,47.34,48.76,47.1,47.96,46.89,47.51,46.59,47.18,46.07
E3-08,F,T,POST,GDX,THY,151.78,151.62,TUM,THY,47.9,47.95,46.91,47.34,45.93,47.13,45.88,46.9,45.81,46.87
E4-01,F,C,POST,GDX,TUM,158.89,158.52,THY,TUM,47.71,47.45,47.4,47.2,47.05,46.5,46.84,46.14,46.38,45.9
E4-03,F,C,POST,SHAM,THY,151.33,151.01,THY,TUM,47.85,47.29,47.61,46.11,47.63,45.04,46.69,44.51,46.67,44.48
E4-05,F,C,POST,REP,TUM,154.08,153.64,TUM,THY,46.39,48.32,45.8,48.19,44.81,47.99,44.81,46.79,44.8,45.45
E4-06,M,C,POST,REP,THY,156.05,155.29,TUM,THY,54.15,50.92,54.03,49.49,53.98,48.4,53.97,48,53.91,48.03
E4-07,M,C,POST,SHAM,TUM,155.19,154.6,THY,TUM,48.39,52.84,48.22,51.63,47.98,50.46,47.8,50.29,47.8,50.29
E4-08,M,C,POST,GDX,THY,154.28,154.17,THY,TUM,50.83,50.57,49.67,50.05,48.84,49.83,48.23,49.23,48.22,49.23
E5-03,F,T,POST,REP,TUM,154.09,153.98,TUM,THY,52.87,52.12,52.05,51.08,51.48,50.68,50.88,50.26,50.06,50.2
E5-04,M,T,POST,REP,THY,154.17,153.83,TUM,THY,52.76,50.44,51.81,49.69,51.46,49.52,50.92,49.53,50.83,49.34
E5-05,F,T,POST,SHAM,TUM,154.87,154.85,THY,TUM,52.26,50.53,51.73,49.36,50.93,48.93,50.01,48.58,50.02,48.59
E5-06,M,T,POST,SHAM,THY,155.91,155.66,THY,TUM,51.76,50.25,50.65,50.09,50.57,49.64,50.23,49.12,50.06,48.38
E5-07,M,T,POST,GDX,TUM,154.14,154.01,TUM,THY,48.9,51.47,48.41,50.66,48.03,50.26,47.58,49.69,47.31,49.67
E5-08,M,T,POST,REP,THY,156.14,155.72,TUM,THY,50.84,49.47,50.26,49.05,49.98,48.95,49.92,48.76,49.92,48.74
E6-01,M,T,POST,GDX,THY,133.64,133.64,TUM,THY,51.33,48.99,50.26,48.83,49.77,48.62,49.76,48.31,49.52,48.18
E6-03,F,T,POST,SHAM,TUM,138.2,137.98,TUM,THY,49.36,48.69,48.57,48.1,48.56,47.94,46.85,47.77,46.85,47.77
E6-04,M,T,POST,REP,THY,132.63,132.58,THY,TUM,49.2,48.3,48.6,48.01,48.3,47.81,47.77,47.61,47.77,47.6
E6-06,M,T,POST,SHAM,TUM,134.12,134.05,THY,TUM,48.89,51.55,48.83,50.59,48.38,49.9,48.27,49.56,47.96,48.67
E7-01,M,C,POST,REP,THY,130.91,130.48,TUM,THY,50.11,51.02,49.32,50.37,48.65,50.15,48.38,49.54,48.04,49.16
E7-02,M,C,POST,GDX,TUM,136.75,136.61,TUM,THY,50.83,48.83,49.34,48.69,48.24,48.68,48.17,47.83,47.83,47.68
E7-03,M,C,POST,REP,THY,131.52,131.52,THY,TUM,48.85,50.49,48.37,49.96,47.86,49.3,47.7,48.97,47.69,48.94
E7-05,F,C,POST,GDX,TUM,135.5,135.27,THY,TUM,48.07,50.41,47.87,48.94,47.32,47.95,46.95,47.86,46.94,47.29
E7-06,F,C,POST,REP,THY,131.11,130.98,TUM,THY,51.56,49.94,51.08,49.1,50.57,48.84,50.24,48.81,50.03,48.33
E7-08,F,C,POST,GDX,TUM,137.77,137.67,TUM,THY,50.37,48.63,49.1,48.6,48.45,48.59,47.75,48.59,47.03,48.59
E8-07Ma,M,C,POST,REP,TUM,145.54,144.31,TUM,THY,46.68,47.82,46.31,47.06,45.61,47.08,45.36,46.8,45.11,46.8
E8-07Mb,M,C,POST,GDX,THY,141.11,140.64,TUM,THY,47.84,49.2,47.62,48.95,47.48,48.43,47.48,48.04,47.46,47.99
E8-03F,F,C,POST,REP,TUM,142.52,141.8,THY,TUM,49.67,48.79,49.42,48.18,49.44,47.43,49.44,46.62,49.43,45.41
E8-05Fb,F,C,POST,GDX,THY,145.11,144.28,THY,TUM,48.88,48.67,47.69,48.64,46.45,48.63,45.53,48.67,44.95,48.59
E8-04F,F,C,POST,GDX,TUM,146.96,146.28,TUM,THY,49.53,49.01,48.69,48.82,48.08,48.19,48.06,47.47,47.95,46.97
E9-05F,F,C,POST,SHAM,THY,145.76,145.38,TUM,THY,47.78,48.44,47.72,47.14,47.66,46.1,47.66,45.2,47.62,44.14
