Subject,Sex,Group,Age,Gonad,DemFood,DemInitial,DemFinal,LeftFeed,RightFeed,Left0H,Right0H,Left2H,Right2H,Left4H,Right4H,Left6H,Right6H,Left8H,Right8H
E14-07M,M,T,PRE,,COC,149.61,147.82,COC,CIN,50.33,50.91,48.24,50.84,47.72,50.84,46.83,50.84,45.9,50.83
E14-10FA,F,T,PRE,,CIN,150.35,149.81,COC,CIN,51.13,51.2,50.88,49.47,50.83,48.75,50.82,48.09,50.81,47.02
E14-12FB,F,T,PRE,,COC,149.9,149.06,CIN,COC,50.97,51.21,50.57,50.22,50.37,49.4,50.34,48.85,50.26,48.22
E15-01F,F,C,PRE,,CIN,149.46,148.51,CIN,COC,49.85,50.57,47.92,50.54,47.1,50.52,46.43,50.52,45.66,50.52
E15-02F,F,C,PRE,,COC,149.17,148.55,COC,CIN,49.27,51.3,48.17,51.2,47.09,51.2,46.9,51.2,45.95,51.2
E15-09M,M,C,PRE,,CIN,149.71,148.67,COC,CIN,51.21,52.05,51.18,50.47,51.18,50.22,51.18,49.4,51.17,48.93
E15-07M,M,C,PRE,,COC,149.94,148.94,CIN,COC,51.42,49,51.3,47.64,50.64,47.3,49.93,47.08,49.67,46.85
E16-15M,M,T,PRE,,CIN,149.5,148.72,CIN,COC,50.53,51.64,48.62,51.62,48.07,51.62,47.23,51.52,46.78,51.52
E16-07M,M,T,PRE,,COC,150.35,149.43,COC,CIN,49.65,51.33,47.88,51.17,47.42,50.86,46.66,50.56,46.41,50.55
E16-05F,F,T,PRE,,CIN,150.35,148.25,COC,CIN,49.5,49.74,48.86,48.61,48.86,47.32,48.86,47.24,48.86,47.23
E16-11F,F,T,PRE,,COC,149.21,149.27,CIN,COC,50.09,50.81,49.81,49.51,49.81,49.01,49.75,47.96,49.75,47.96
E16-12F,F,T,PRE,,CIN,150.12,148.27,CIN,COC,49.74,48.25,48.08,48.23,46.96,48.22,46.29,48.22,46.27,48.22
E14-AM,M,T,PRE,,COC,150.19,148.29,COC,CIN,49.72,49.5,48.25,48.49,48.13,48.22,47.74,47.41,47.73,47.02
E12-01F,F,T,PRE,,COC,150.77,149.9,COC,CIN,50.23,49.75,49.69,49.64,47.84,49.43,47.16,49.42,46.45,49.37
E12-12F,F,T,PRE,,CIN,143.45,143.45,COC,CIN,49.4,48.29,49.21,48.74,48.04,48.62,48.02,48.62,47.54,48.53
E12-10F,F,T,PRE,,COC,150.6,149.44,CIN,COC,51,50.04,50.77,48.71,50.68,48.11,50.68,47.68,50.68,47.02
E12-15F,F,T,PRE,,CIN,143.92,143.38,CIN,COC,49.97,50.03,49.41,49.05,49.28,47.55,49.23,47.12,49.13,46.43
E12-08M,M,T,PRE,,COC,149.71,143.48,COC,CIN,48.73,49.92,46.99,49.84,46.11,49.84,45.76,49.84,44.81,49.84
E13-AM,M,T,PRE,,CIN,145.68,144.63,COC,CIN,51.71,50.23,51.61,48.77,51.61,48.09,51.61,47.22,50.34,46.82
E13-BF,F,T,PRE,,CIN,145.24,144.34,CIN,COC,52.19,49.33,50.89,49.14,49.86,49.14,49.48,49.14,48.65,49.07
E13-12FA,F,T,PRE,,COC,149.32,148.95,COC,CIN,51.24,50.19,49.48,50.12,48.36,50.03,47.49,50.03,47.38,50.01
E13-CF,F,T,PRE,,CIN,152.62,152.3,COC,CIN,50.14,50.65,49.98,49.49,49.95,48.34,49.92,48.15,49.83,46.97
E13-DF,F,T,PRE,,COC,150.03,149.25,CIN,COC,50.57,49.42,50.49,48.17,50.49,47.36,49.85,47.15,49.17,46.68
E14-09FA,F,T,PRE,,CIN,149.94,149.12,CIN,COC,48.73,50.12,47.74,49.23,47.27,48.85,47.05,48.27,46.85,47.56
E10-13M,M,C,PRE,,COC,148.45,147.92,CIN,COC,51.73,50.44,51.29,47.14,51.02,46.65,50.87,46.31,50.5,46.24
E10-02F,F,C,PRE,,CIN,146.6,145.85,CIN,COC,49.44,50.48,49.44,50.48,48.71,50.46,47.86,50.46,47.58,50.46
E11-01F,F,C,PRE,,CIN,147.34,146.53,COC,CIN,48.66,49.25,48.66,49.25,48.66,48.08,48.63,47.75,48.63,47.59
E11-03M,M,C,PRE,,COC,145.15,144.41,CIN,COC,50.96,48.21,50.04,47.5,49.13,47.5,48.76,47.5,48.6,47.5
