Subject,Sex,Group,Age,Gonad,DemFood,DemInitial,DemFinal,LeftFeed,RightFeed,Left0H,Right0H,Left2H,Right2H,Left4H,Right4H,Left6H,Right6H,Left8H,Right8H
1,,C,POST,GDX,TUM,100,0,TUM,THY,48.28,50.01,47.44,49.94,46.2,49.9,45.64,49.89,44.67,49.9
2,,C,POST,GDX,THY,100,0,TUM,THY,47.95,50.39,47.57,49.18,47.54,48.59,47.49,47.82,47.32,47.33
3,,C,POST,GDX,TUM,100,0,THY,TUM,50.1,48.31,49.78,47.29,49.12,46.65,48.78,46.44,48.63,46.03
4,,C,POST,GDX,THY,100,0,THY,TUM,50.06,48.99,48.67,48.65,47.97,48.64,47.11,48.53,46.32,48.56
5,,C,POST,GDX,TUM,100,0,TUM,THY,48.8,50.44,48.66,48.14,48.65,47.33,48.69,47.09,48.65,46.9
6,,C,POST,GDX,THY,100,0,TUM,THY,49.57,50.23,48.82,50.03,47.99,49.99,47.17,49.93,46.46,49.89
7,,C,POST,GDX,THY,100,0,THY,TUM,50.08,51.22,49.47,50.63,48.5,50.08,48.12,50.06,47.84,49.23
8,,C,POST,GDX,TUM,100,0,THY,TUM,50.34,49.27,49.91,48.58,49.65,47.49,49.34,46.84,48.88,46.58
9,,C,POST,GDX,TUM,100,0,TUM,THY,49.02,50.08,47.67,49.76,47.26,48.83,46.96,48.3,46.78,48.04
10,,C,POST,GDX,THY,100,0,TUM,THY,48.21,50.28,47.89,49.06,47.47,48.83,47.46,47.58,47.43,47.32
11,,C,POST,GDX,TUM,100,0,THY,TUM,50.13,47.93,49.92,46.11,49.49,45.72,49.11,44.82,48.63,44.66
12,,C,POST,GDX,THY,100,0,THY,TUM,50.02,47.88,48.36,47.7,47.4,47.69,47.38,47.68,47.04,47.68
13,,C,POST,GDX,TUM,100,0,TUM,THY,47.67,47.45,46.63,47.42,45.81,47.36,45.3,46.45,45.26,46.11
14,,C,POST,GDX,THY,100,0,TUM,THY,47.15,47.66,46.15,47.22,48.87,46.54,45.57,46.48,45.57,46.18
15,,C,POST,GDX,TUM,100,0,THY,TUM,47.58,50.06,47,49.84,46.46,49.47,46.33,49.28,46.15,49.04
16,,C,POST,GDX,THY,100,0,THY,TUM,49.13,51.3,48.83,50.8,48.58,50.42,48.18,50.13,47.87,49.8
17,,C,POST,GDX,TUM,100,0,TUM,THY,50.77,47.58,49.63,47.53,49.15,47.31,48.54,47.29,48.35,46.68
18,,C,POST,GDX,THY,100,0,TUM,THY,51.13,48.64,50.87,47.59,50.7,47.11,50.69,47.06,50.54,46.91
19,,C,POST,GDX,TUM,100,0,THY,TUM,49.86,49.25,49.45,48.46,49.43,47.74,48.95,47.13,48.53,47.03
20,,C,POST,GDX,THY,100,0,THY,TUM,49.54,50.99,48.62,50.59,48.1,50.51,47.85,50.48,47.52,50.48
21,,C,POST,GDX,TUM,100,0,TUM,THY,47.58,50.56,46.79,49.75,46.06,49.44,46,48.56,45.71,48.41
22,,C,POST,GDX,THY,100,0,TUM,THY,48.12,48.94,48.05,48.02,48.06,47.22,48.05,46.71,48.05,46.24
23,,C,POST,GDX,TUM,100,0,THY,TUM,49.66,49.7,48.96,49.11,48.07,48.94,47.49,48.48,47.41,48.17
24,,C,POST,GDX,THY,100,0,THY,TUM,48.01,48.43,46.81,48.37,45.7,48.35,45.03,48.33,44.67,48.32
