"","Subject","Sex","Group","Age","Gonad","Estrus","DemFood","DemInitial","DemFinal","LeftFeed","RightFeed","Left0H","Right0H","Left2H","Right2H","Left4H","Right4H","Left6H","Right6H","Left8H","Right8H","FLA2H","FLB2H","FLA4H","FLB4H","FLA6H","FLB6H","FLA8H","FLB8H","CON2H","CON4H","CON6H","CON8H","DemCons","flavAPref2H","flavAPref4H","flavAPref6H","flavAPref8H","demPref2H","demPref4H","demPref6H","demPref8H","transFlavAPref2H","transFlavAPref4H","transFlavAPref6H","transFlavAPref8H","transDemPref2H","transDemPref4H","transDemPref6H","transDemPref8H"
"284","E1-01","M","T","POST","GDX",-999,"TUM",132.85,132.06,"TUM","THY",48.84,50.26,48.29,49.33,47.92,49.24,47.19,49.02,47.07,48.99,0.550000000000004,0.93,0.369999999999997,0.0899999999999963,0.730000000000004,0.219999999999999,0.119999999999997,0.0300000000000011,1.48,0.459999999999994,0.950000000000003,0.149999999999999,0.789999999999992,0.371621621621623,0.804347826086962,0.768421052631581,0.79999999999999,0.371621621621623,0.804347826086962,0.768421052631581,0.79999999999999,0.655565684129131,1.11260594452204,1.06874298548522,1.10714871779408,0.655565684129131,1.11260594452204,1.06874298548522,1.10714871779408
"285","E1-02","M","T","POST","SHAM",-999,"THY",132.9,131.87,"TUM","THY",49.66,50.31,49.53,49,49.53,47.74,49.53,46.51,49.51,46.37,0.129999999999995,1.31,0,1.26,0,1.23,0.0200000000000031,0.140000000000001,1.44,1.26,1.23,0.160000000000004,1.03,0.0902777777777748,0,0,0.125000000000017,0.909722222222225,1,1,0.874999999999983,0.305177634176578,0,0,0.361367123906733,1.26561869261832,1.5707963267949,1.5707963267949,1.20942920288816
"286","E1-04","M","T","POST","REP",-999,"TUM",133.19,132.45,"THY","TUM",49.21,50.76,48.55,50.37,47.37,49.82,47.36,49.55,47.22,48.84,0.390000000000001,0.660000000000004,0.549999999999997,1.18,0.270000000000003,0.00999999999999801,0.709999999999994,0.140000000000001,1.05,1.73,0.280000000000001,0.849999999999994,0.740000000000009,0.37142857142857,0.317919075144508,0.964285714285722,0.835294117647057,0.37142857142857,0.317919075144508,0.964285714285722,0.835294117647057,0.655365927040251,0.599031813296823,1.38067072344845,1.15289889109505,0.655365927040251,0.599031813296823,1.38067072344845,1.15289889109505
"287","E2-01","M","C","POST","REP",-999,"THY",133.29,132.92,"THY","TUM",49.57,50.98,48.83,50.97,48.25,50.47,48.05,50.16,47.56,49.84,0.00999999999999801,0.740000000000002,0.5,0.579999999999998,0.310000000000002,0.200000000000003,0.319999999999993,0.489999999999995,0.75,1.08,0.510000000000005,0.809999999999988,0.370000000000005,0.0133333333333307,0.462962962962964,0.6078431372549,0.395061728395059,0.986666666666669,0.537037037037036,0.3921568627451,0.604938271604941,0.115728205889301,0.748327172280568,0.894095459531286,0.679673818908241,1.4550681209056,0.822469154514329,0.676700867263611,0.891122507886655
"288","E2-03","F","C","POST","SHAM","P","TUM",136.18,135.75,"TUM","THY",51.14,49.17,50.34,49.14,49.42,49.11,48.54,49.13,47.71,49.11,0.799999999999997,0.0300000000000011,0.920000000000002,0.0300000000000011,0.880000000000003,0,0.829999999999998,0.0200000000000031,0.829999999999998,0.950000000000003,0.880000000000003,0.850000000000001,0.430000000000007,0.963855421686746,0.968421052631578,1,0.97647058823529,0.963855421686746,0.968421052631578,1,0.97647058823529,1.37951472781566,1.39214282950829,1.5707963267949,1.41679532793929,1.37951472781566,1.39214282950829,1.5707963267949,1.41679532793929
"289","E2-04","M","C","POST","GDX",-999,"THY",130.68,129.77,"TUM","THY",50.64,51.16,50.57,49.89,50.54,48.54,50.54,47.21,50.53,46.91,0.0700000000000003,1.27,0.0300000000000011,1.35,0,1.33,0.00999999999999801,0.300000000000004,1.34,1.38,1.33,0.310000000000002,0.909999999999997,0.0522388059701496,0.0217391304347834,0,0.0322580645161224,0.94776119402985,0.978260869565217,1,0.967741935483878,0.230596322306651,0.147981460748786,0,0.180585214190679,1.34020000448825,1.42281486604611,1.5707963267949,1.39021111260422
"290","E2-05","F","C","POST","REP",-999,"TUM",132.15,131.86,"THY","TUM",50.36,49.24,50.28,48.4,49.48,47.31,49.47,47.31,49.08,47.3,0.840000000000003,0.0799999999999983,1.09,0.800000000000004,-999,-999,0.0100000000000051,0.390000000000001,0.920000000000002,1.89,0.00999999999999801,0.400000000000006,0.289999999999992,0.913043478260872,0.576719576719575,-999,0.0250000000000124,0.913043478260872,0.576719576719575,-999,0.0250000000000124,1.27146230037713,0.862422017135866,-999,0.158780214645801,1.27146230037713,0.862422017135866,-999,0.158780214645801
"291","E2-06","M","C","POST","GDX",-999,"THY",129.28,129.16,"THY","TUM",50.35,48.91,48.54,49.77,48.28,48.88,47.56,48.86,47.21,48.85,0,1.81,0.890000000000001,0.259999999999998,0.0200000000000031,0.719999999999999,0.00999999999999801,0.350000000000001,1.81,1.15,0.740000000000002,0.359999999999999,0.120000000000005,0,0.773913043478262,0.0270270270270312,0.0277777777777723,1,0.226086956521738,0.972972972972969,0.972222222222228,0,1.07527990676675,0.16514867741464,0.167448079219673,1.5707963267949,0.495516420028147,1.40564764938026,1.40334824757522
"292","E2-08","M","C","POST","SHAM",-999,"TUM",136.85,136.4,"TUM","THY",51.65,50.1,50.58,49.92,50.44,49.4,50.43,48.85,49.67,48.53,1.07,0.18,0.140000000000001,0.520000000000003,0.00999999999999801,0.549999999999997,0.759999999999998,0.32,1.25,0.660000000000004,0.559999999999995,1.08,0.449999999999989,0.856,0.212121212121212,0.0178571428571395,0.703703703703703,0.856,0.212121212121212,0.0178571428571395,0.703703703703703,1.18156935671709,0.478632959524503,0.134031561411206,0.99520485518237,1.18156935671709,0.478632959524503,0.134031561411206,0.99520485518237
"293","E3-01","M","T","POST","GDX",-999,"TUM",148.79,148.47,"TUM","THY",48,48.94,47.04,48.33,46.9,47.68,46.88,47.35,46.82,47.1,0.960000000000001,0.609999999999999,0.140000000000001,0.649999999999999,0.019999999999996,0.329999999999998,0.0600000000000023,0.25,1.57,0.789999999999999,0.349999999999994,0.310000000000002,0.319999999999993,0.611464968152867,0.177215189873419,0.0571428571428467,0.19354838709678,0.611464968152867,0.177215189873419,0.0571428571428467,0.19354838709678,0.897807671378802,0.434513705372997,0.241382961662845,0.455533356978368,0.897807671378802,0.434513705372997,0.241382961662845,0.455533356978368
