"","Subject","Sex","Group","Age","Gonad","Estrus","DemFood","DemInitial","DemFinal","LeftFeed","RightFeed","Left0H","Right0H","Left2H","Right2H","Left4H","Right4H","Left6H","Right6H","Left8H","Right8H","FLA2H","FLB2H","FLA4H","FLB4H","FLA6H","FLB6H","FLA8H","FLB8H","CON2H","CON4H","CON6H","CON8H","DemCons","flavAPref2H","flavAPref4H","flavAPref6H","flavAPref8H","demPref2H","demPref4H","demPref6H","demPref8H","transFlavAPref2H","transFlavAPref4H","transFlavAPref6H","transFlavAPref8H","transDemPref2H","transDemPref4H","transDemPref6H","transDemPref8H"
"1","E14-07M","M","T","PRE","PRE",-999,"COC",149.61,147.82,"COC","CIN",50.33,50.91,48.24,50.84,47.72,50.84,46.83,50.84,45.9,50.83,0.0699999999999932,2.09,0,0.520000000000003,0,0.890000000000001,0.0100000000000051,0.93,2.15999999999999,0.520000000000003,0.890000000000001,0.940000000000005,1.79000000000002,0.0324074074074044,0,0,0.0106382978723458,0.967592592592596,1,1,0.989361702127654,0.181007367881238,0,0,0.10332588178834,1.38978895891366,1.5707963267949,1.5707963267949,1.46747044500656
"2","E14-10FA","F","T","PRE","PRE",-999,"CIN",150.35,149.81,"COC","CIN",51.13,51.2,50.88,49.47,50.83,48.75,50.82,48.09,50.81,47.02,1.73,0.25,0.719999999999999,0.0500000000000043,0.659999999999997,0.00999999999999801,1.07,0.00999999999999801,1.98,0.770000000000003,0.669999999999995,1.08,0.539999999999992,0.873737373737374,0.93506493506493,0.985074626865674,0.990740740740743,0.873737373737374,0.93506493506493,0.985074626865674,0.990740740740743,1.20752440086826,1.31313105460393,1.44832091888119,1.47442216432761,1.20752440086826,1.31313105460393,1.44832091888119,1.47442216432761
"3","E14-12FB","F","T","PRE","PRE",-999,"COC",149.9,149.06,"CIN","COC",50.97,51.21,50.57,50.22,50.37,49.4,50.34,48.85,50.26,48.22,0.399999999999999,0.990000000000002,0.200000000000003,0.82,0.029999999999994,0.549999999999997,0.0800000000000054,0.630000000000003,1.39,1.02,0.579999999999991,0.710000000000008,0.840000000000003,0.287769784172661,0.196078431372551,0.051724137931025,0.112676056338035,0.712230215827339,0.803921568627449,0.948275862068975,0.887323943661966,0.566215219299037,0.458727412708226,0.229437102507033,0.342319108043378,1.00458110749586,1.11206891408667,1.34135922428786,1.22847721875152
"4","E15-01F","F","C","PRE","PRE",-999,"CIN",149.46,148.51,"CIN","COC",49.85,50.57,47.92,50.54,47.1,50.52,46.43,50.52,45.66,50.52,1.93,0.0300000000000011,0.82,0.019999999999996,0.670000000000002,0,0.770000000000003,0,1.96,0.839999999999996,0.670000000000002,0.770000000000003,0.950000000000017,0.98469387755102,0.976190476190481,1,1,0.98469387755102,0.976190476190481,1,1,1.44676061120586,1.4158740069241,1.5707963267949,1.5707963267949,1.44676061120586,1.4158740069241,1.5707963267949,1.5707963267949
"5","E15-02F","F","C","PRE","PRE",-999,"COC",149.17,148.55,"COC","CIN",49.27,51.3,48.17,51.2,47.09,51.2,46.9,51.2,45.95,51.2,0.0999999999999943,1.1,0,1.08,0,0.190000000000005,0,0.949999999999996,1.2,1.08,0.190000000000005,0.949999999999996,0.619999999999976,0.0833333333333289,0,0,0,0.916666666666671,1,1,1,0.292842771728567,0,0,0,1.27795355506633,1.5707963267949,1.5707963267949,1.5707963267949
"6","E15-09M","M","C","PRE","PRE",-999,"CIN",149.71,148.67,"COC","CIN",51.21,52.05,51.18,50.47,51.18,50.22,51.18,49.4,51.17,48.93,1.58,0.0300000000000011,0.25,0,0.82,0,0.469999999999999,0.00999999999999801,1.61,0.25,0.82,0.479999999999997,1.04000000000002,0.981366459627328,1,1,0.979166666666671,0.981366459627328,1,1,0.979166666666671,1.43386407790802,1.5707963267949,1.5707963267949,1.42595282979635,1.43386407790802,1.5707963267949,1.5707963267949,1.42595282979635
"7","E15-07M","M","C","PRE","PRE",-999,"COC",149.94,148.94,"CIN","COC",51.42,49,51.3,47.64,50.64,47.3,49.93,47.08,49.67,46.85,0.120000000000005,1.36,0.659999999999997,0.340000000000003,0.710000000000001,0.219999999999999,0.259999999999998,0.229999999999997,1.48,1,0.93,0.489999999999995,1,0.0810810810810839,0.659999999999997,0.763440860215055,0.530612244897961,0.918918918918916,0.340000000000003,0.236559139784945,0.469387755102039,0.288742907954007,0.94826290704476,1.0628619365718,0.816029565311477,1.28205341884089,0.622533419750137,0.5079343902231,0.75476676148342
"8","E16-15M","M","T","PRE","PRE",-999,"CIN",149.5,148.72,"CIN","COC",50.53,51.64,48.62,51.62,48.07,51.62,47.23,51.52,46.78,51.52,1.91,0.0200000000000031,0.549999999999997,0,0.840000000000003,0.0999999999999943,0.449999999999996,0,1.93000000000001,0.549999999999997,0.939999999999998,0.449999999999996,0.780000000000001,0.98963730569948,1,0.893617021276602,1,0.98963730569948,1,0.893617021276602,1,1.46882236637294,1.5707963267949,1.23855348328014,1.5707963267949,1.46882236637294,1.5707963267949,1.23855348328014,1.5707963267949
"9","E16-07M","M","T","PRE","PRE",-999,"COC",150.35,149.43,"COC","CIN",49.65,51.33,47.88,51.17,47.42,50.86,46.66,50.56,46.41,50.55,0.159999999999997,1.77,0.310000000000002,0.460000000000001,0.299999999999997,0.760000000000005,0.0100000000000051,0.25,1.92999999999999,0.770000000000003,1.06,0.260000000000005,0.919999999999987,0.0829015544041436,0.402597402597404,0.283018867924525,0.0384615384615574,0.917098445595856,0.597402597402596,0.716981132075475,0.961538461538443,0.292060731935961,0.687368745363947,0.560955109120553,0.19739555984993,1.27873559485894,0.883427581430949,1.00984121767434,1.37340076694497
"10","E16-05F","F","T","PRE","PRE",-999,"CIN",150.35,148.25,"COC","CIN",49.5,49.74,48.86,48.61,48.86,47.32,48.86,47.24,48.86,47.23,1.13,0.640000000000001,1.29,0,-999,-999,-999,-999,1.77,1.29,0.0799999999999983,0.0100000000000051,2.09999999999999,0.638418079096046,1,-999,-999,0.638418079096046,1,-999,-999,0.925648171969103,1.5707963267949,-999,-999,0.925648171969103,1.5707963267949,-999,-999
